"mProtein","dProtein"
"Q9UBX2","Q00839"
"O95793","Q00839"
"P11387","Q00839"
"Q5S007","Q00839"
"P04487","Q00839"
"O95816","Q00839"
"Q9UHD9","Q00839"
"B2Y833","Q00839"
"Q86VM9","Q00839"
"P05412","Q00839"
"Q9NZI8","Q00839"
"P22460","Q14160"
"P20020","Q14160"
"P33402","Q14160"
"P25100","Q14160"
"Q0A2H0","Q14160"
"Q14CM0","Q14160"
"Q9P0K1","Q14160"
"P53778","Q14160"
"Q01814","Q14160"
"Q15311","Q14160"
"Q5VV41","Q14160"
"Q9C0D5","Q14160"
"P23508","Q14160"
"Q9NS75","Q14160"
"A6NIX2","Q14160"
"Q99569","Q14160"
"P35222","Q14160"
"P34998","Q14160"
"Q9UQB3","Q14160"
"Q96GG9","Q14160"
"Q14D04","Q14160"
"P46937","Q14160"
"Q15349","Q14160"
"P0C2L3","Q14160"
"Q9GZV5","Q14160"
"P25054","Q14160"
"Q9UDY2","Q14160"
"Q15418","Q14160"
"P19320","Q14160"
"P48050","Q14160"
"Q92993","O00629"
"P46063","O00629"
"P03428","O00629"
"P02545","O00629"
"Q13148","O00629"
"Q14807","O00629"
"Q53F19","O00629"
"Q5S007","O00629"
"P45973","O00629"
"Q9Y247","O00629"
"Q00613","O00629"
"Q6IPR1","P13804"
"P0DTC5","P13804"
"Q5S007","P13804"
"P38117","P13804"
"P19838","P13804"
"O95831","P13804"
"P11142","P13804"
"Q12906","P26045"
"P11473","P26045"
"Q9UQ35","P26045"
"P61981","P26045"
"Q04917","P26045"
"P06463","P26045"
"Q12905","P26045"
"Q8TBC3","P26045"
"Q8TAA9","P26045"
"P40692","P26045"
"Q9UHD9","P0CG48"
"P08393","P0CG48"
"Q9UBN7","P0CG48"
"O60566","P0CG48"
"Q9NQ90","Q12959"
"Q86XJ0","Q12959"
"P0C2L3","Q12959"
"Q9NTX7","Q12959"
"P36507","Q12959"
"A1A5B4","Q12959"
"Q9UQB3","Q12959"
"O60447","Q12959"
"P03372","Q12959"
"Q9C0D5","Q12959"
"O15427","Q12959"
"Q9ULK5","Q12959"
"Q9QNP8","Q12959"
"Q5VV41","Q12959"
"Q96KB5","Q12959"
"Q96PE1","Q12959"
"Q14957","Q12959"
"Q7Z628","Q12959"
"P34998","Q12959"
"P22001","Q12959"
"P26554","Q12959"
"P33402","Q12959"
"P78536","Q12959"
"Q9Y2Z9","P05141"
"Q8TB22","P05141"
"Q99558","P05141"
"Q99IB8","P05141"
"P0CK56","Q9Y5V3"
"Q03989","Q9Y5V3"
"O14503","Q9Y5V3"
"P55036","P55036"
"P09622","P55036"
"P0DPB3","P55036"
"P41134","P55036"
"Q9UMX0","P55036"
"Q9NUJ3","P55036"
"Q5S007","P55036"
"O95613","P55036"
"P13285","P55036"
"P42858","P55036"
"P03126","Q14160"
"Q13505","Q6UXV4"
"Q9Y512","Q6UXV4"
"Q96TA2","Q6UXV4"
"P88988","Q6UXV4"
"P17152","Q6UXV4"
"Q9BRQ6","Q6UXV4"
"Q96TC7","Q6UXV4"
"Q9NVH1","Q6UXV4"
"Q16891","Q6UXV4"
"P21735","Q12959"
"Q9UBP5","Q93062"
"O43189","Q93062"
"P01344","Q93062"
"P30119","Q93062"
"Q96HA1","Q93062"
"Q9Y5V3","Q93062"
"Q9BVN2","Q93062"
"Q8N9N5","Q93062"
"Q13227","Q93062"
"Q6PIY7","Q93062"
"P86479","Q93062"
"Q6ZVT0","Q93062"
"Q03989","Q93062"
"O75603","Q93062"
"O95947","Q93062"
"Q15637","Q93062"
"Q96K80","Q93062"
"Q9NQ87","Q93062"
"Q5TAQ9","Q93062"
"Q86UW9","Q93062"
"Q4ZGA4","Q12959"
"Q86VP1","O15111"
"Q92985","O15111"
"P01106","O15111"
"O14920","O15111"
"P07900","O15111"
"P46527","O15111"
"P19838","O15111"
"Q16543","O15111"
"Q77M19","O15111"
"Q8NFZ5","O15111"
"Q9H0F6","O15111"
"Q86WI3","O15111"
"Q92993","O60684"
"P03070","O60684"
"Q15637","O60684"
"Q9HAN9","O60684"
"O43148","O60684"
"P78424","O60684"
"P46087","O60684"
"Q92688","O60684"
"P02545","O60684"
"Q16594","O60684"
"P20700","O60684"
"X5D778","O60684"
"O14893","O60684"
"Q9Y5V3","Q6P1W5"
"Q8NI38","Q6P1W5"
"Q86UW9","Q6P1W5"
"Q67296","Q6P1W5"
"Q9UMX2","Q6P1W5"
"Q8N9N5","Q6P1W5"
"Q5TA45","Q6P1W5"
"P86479","Q6P1W5"
"P86480","Q6P1W5"
"Q8WXE1","Q6P1W5"
"O95947","Q6P1W5"
"O43251","Q6P1W5"
"P54253","Q6P1W5"
"Q9UI26","Q6P1W5"
"O75031","Q6P1W5"
"P46108","Q6P1W5"
"O75360","Q6P1W5"
"Q96CN9","Q6P1W5"
"O75553","Q6P1W5"
"Q8IYR0","Q6P1W5"
"P52597","Q6P1W5"
"O14770","Q6P1W5"
"Q9NWB1","Q6P1W5"
"Q86WV8","Q6P1W5"
"O95231","Q6P1W5"
"A5D8V6","Q6P1W5"
"Q8IWX8","Q6P1W5"
"Q14687","Q6P1W5"
"Q8WU79","Q6P1W5"
"Q92993","Q08379"
"Q9Y618","Q08379"
"Q15561","Q08379"
"Q99IB8","Q08379"
"Q9NVF7","Q08379"
"Q13671","Q08379"
"Q9BQ89","Q08379"
"D3DUQ6","Q08379"
"Q8NHY3","Q08379"
"Q9UHB7","Q08379"
"Q13094","Q08379"
"Q92688","P52294"
"P03372","P52294"
"B4URF7","P52294"
"Q5TAQ9","P52294"
"Q9BUI4","P52294"
"P49336","P52294"
"Q16594","P52294"
"Q8IY92","P52294"
"P20700","P52294"
"Q9UKX7","P52294"
"P09067","P14373"
"Q8N715","P14373"
"Q9H3S7","P14373"
"Q6NXQ0","P14373"
"Q8NHY3","P14373"
"Q92917","P14373"
"P26196","P14373"
"Q9BWG6","P14373"
"Q0P5Q0","P14373"
"Q9NQL9","P14373"
"O15371","P14373"
"P00973-2","P14373"
"Q9NWV8","P14373"
"Q9NVE4","P14373"
"Q96IQ9","P14373"
"Q9H0B3","P14373"
"Q6NSM0","P14373"
"P0CG20","P14373"
"O60437","P14373"
"Q494U1","P14373"
"Q5S007","P14373"
"Q7L5A3","P14373"
"Q86YD7","P14373"
"Q969U6","P14373"
"Q8IYI6","P14373"
"Q9BWT7","P14373"
"Q5TAP6","P14373"
"O14964","P14373"
"P17482","P14373"
"Q96FV9","P14373"
"Q96PV0","P14373"
"Q96CS2","P14373"
"Q03989","P14373"
"Q9H788","P14373"
"Q8NA54","P14373"
"Q8IZW8","P14373"
"Q9HC52","P14373"
"Q15561","P14373"
"O15169","P14373"
"O00750","P14373"
"Q9H0W8","P14373"
"Q9UJX2","P14373"
"O95817","P14373"
"P03225","P14373"
"Q8NEC5","P14373"
"Q9C086","P14373"
"Q96GX1","P08240"
"Q96Q45","P08240"
"Q86X19","P08240"
"C5E519","P08240"
"Q86UK5","P08240"
"Q5S007","P08240"
"P02545","P08240"
"P27824","P08240"
"Q9UPN7","P08240"
"P03126","P26045"
"Q9WMX2","P05141"
"Q7Z7G1","Q92569"
"P10275","Q92569"
"Q05397","Q92569"
"Q14919","Q92569"
"I6L996","Q92569"
"P31321","Q92569"
"Q8TAK6","Q92569"
"Q96LK8","Q92569"
"O12161","Q92831"
"P49336","Q92831"
"Q16665","Q92831"
"O60566","Q92831"
"P52294","Q8IY92"
"Q5VYV7","Q8IY92"
"P05928","Q8IY92"
"O95071","Q8IY92"
"Q9C0C9","Q8IY92"
"Q15554","Q8IY92"
"Q96AY2","Q8IY92"
"Q96CM8","Q5XKP0"
"Q13505","Q5XKP0"
"Q96AL5","Q5XKP0"
"Q5S007","Q5XKP0"
"Q77M19","Q5XKP0"
"Q9BRQ6","Q5XKP0"
"Q5T9A4","Q5XKP0"
"Q16891","Q5XKP0"
"Q9NX63","Q5XKP0"
"Q5JTC6","Q9Y297"
"Q13127","Q9Y297"
"P30304","Q9Y297"
"O15169","Q9Y297"
"P18848","Q9Y297"
"P35222","Q9Y297"
"Q13651","Q9Y297"
"Q9NQ86","Q9Y297"
"P69700","Q9Y297"
"Q12959","Q9Y297"
"Q00987","Q9Y297"
"P46937","Q9Y297"
"Q3KP66","Q9Y297"
"Q16621","Q9Y297"
"Q5D1E8","Q9Y297"
"Q9C026","Q9Y297"
"Q5HYW2","Q9Y297"
"Q9Y2T1","Q9Y297"
"O00444","Q9Y297"
"O75410","Q9Y297"
"P10070","Q9Y297"
"P19838","Q9Y297"
"P05412","Q09472"
"O60934","Q09472"
"P20265","Q09472"
"P0DOJ6","Q09472"
"P16220","Q09472"
"P17844","Q09472"
"P01106","Q09472"
"Q96EB6","Q09472"
"Q8WUF5","Q09472"
"Q9NPI1","Q09472"
"P03372","Q09472"
"P48431","Q99986"
"P15336","Q99986"
"Q96GD4","Q99986"
"P16104","Q99986"
"P27958","Q99986"
"O76064","Q99986"
"O60934","Q99986"
"P0C213","Q12959"
"P49757","P11279"
"Q9H2D6","P11279"
"Q9C0B5","P11279"
