"mProtein","dProtein"
"Q01081","P61978"
"Q96MU7","P61978"
"P13569","P61978"
"O60504","P61978"
"Q8V1E7","P61978"
"Q3KQV3","P61978"
"Q3SBS4","P27986"
"P35568","P27986"
"Q12959","P27986"
"Q9Y2H0","P27986"
"Q9Y4B4","P63165"
"Q9UBC3","P63165"
"Q9H2X6","P63165"
"Q9UBT2","P63165"
"Q16665","P63165"
"P10242","P63165"
"P10914","P63165"
"Q96B23","P63165"
"O75928","P63165"
"O75475","P63165"
"P01104","P63165"
"P29590","P63165"
"Q15916","P63165"
"Q00653","P63165"
"O14964","P63165"
"Q7Z333","P63165"
"Q12888","P63165"
"Q9UER7","P63165"
"Q8N3Z6","P63165"
"Q9UBX2","Q00839"
"O95793","Q00839"
"P11387","Q00839"
"Q5S007","Q00839"
"P04487","Q00839"
"O95816","Q00839"
"Q9UHD9","Q00839"
"B2Y833","Q00839"
"Q86VM9","Q00839"
"P05412","Q00839"
"Q9NZI8","Q00839"
"P03428","P40938"
"P35251","P40938"
"Q99459","P40938"
"P01106","P40938"
"P22460","Q14160"
"P20020","Q14160"
"P33402","Q14160"
"P25100","Q14160"
"Q0A2H0","Q14160"
"Q14CM0","Q14160"
"Q9P0K1","Q14160"
"P53778","Q14160"
"Q01814","Q14160"
"Q15311","Q14160"
"Q5VV41","Q14160"
"Q9C0D5","Q14160"
"P23508","Q14160"
"Q9NS75","Q14160"
"A6NIX2","Q14160"
"Q99569","Q14160"
"P35222","Q14160"
"P34998","Q14160"
"Q9UQB3","Q14160"
"Q96GG9","Q14160"
"Q14D04","Q14160"
"P46937","Q14160"
"Q15349","Q14160"
"P0C2L3","Q14160"
"Q9GZV5","Q14160"
"P25054","Q14160"
"Q9UDY2","Q14160"
"Q15418","Q14160"
"P19320","Q14160"
"P48050","Q14160"
"Q14500","Q14160"
"Q92993","O00629"
"P46063","O00629"
"P03428","O00629"
"P02545","O00629"
"Q13148","O00629"
"Q14807","O00629"
"Q53F19","O00629"
"Q5S007","O00629"
"P45973","O00629"
"Q9Y247","O00629"
"Q00613","O00629"
"Q6IPR1","P13804"
"P0DTC5","P13804"
"Q5S007","P13804"
"P38117","P13804"
"P19838","P13804"
"O95831","P13804"
"P11142","P13804"
"P27958","P14174"
"P00441","P14174"
"Q5S007","P14174"
"Q92743","P14174"
"P03165","P27348"
"Q8IWZ5","P27348"
"O15530","P27348"
"P28290","P27348"
"P0CK58","Q13586"
"P27824","Q13586"
"P30101","Q13586"
"P15260","Q13586"
"Q12906","P26045"
"P11473","P26045"
"Q9UQ35","P26045"
"P61981","P26045"
"Q04917","P26045"
"P06463","P26045"
"Q12905","P26045"
"Q8TBC3","P26045"
"Q8TAA9","P26045"
"P55072","P26045"
"P31946","P26045"
"Q9P2D3","P26045"
"P40692","P26045"
"Q9UHD9","P0CG48"
"P08393","P0CG48"
"Q9UBN7","P0CG48"
"O60566","P0CG48"
"Q5VWN6","Q6PI77"
"Q2PJP0","Q6PI77"
"Q96GN5","Q6PI77"
"Q9C086","Q6PI77"
"Q8NA54","Q6PI77"
"Q9NQ90","Q12959"
"Q86XJ0","Q12959"
"P0C2L3","Q12959"
"Q9NTX7","Q12959"
"P36507","Q12959"
"A1A5B4","Q12959"
"Q9UQB3","Q12959"
"O60447","Q12959"
"P03372","Q12959"
"Q9C0D5","Q12959"
"O15427","Q12959"
"Q9ULK5","Q12959"
"Q9QNP8","Q12959"
"Q5VV41","Q12959"
"Q96KB5","Q12959"
"Q96PE1","Q12959"
"Q14957","Q12959"
"Q7Z628","Q12959"
"P34998","Q12959"
"P22001","Q12959"
"P78536","Q12959"
"P33402","Q12959"
"P29882","Q7Z6G3"
"Q8TBB1","Q7Z6G3"
"P04156","Q7Z6G3"
"P29274","Q7Z6G3"
"P0DTC5","O15027"
"P35579","O15027"
"P08559","O15027"
"Q5S007","O15027"
"P03366","Q9Y266"
"Q9UDY4","Q9Y266"
"Q86UK5","Q9Y266"
"P03225","Q9C0F1"
"Q8WYH8","Q9C0F1"
"Q13561","Q9C0F1"
"Q6P158","Q9C0F1"
"Q96T37","Q9C0F1"
"P40222","Q9C0F1"
"D1LN35","P62269"
"P13569","P62269"
"Q92731","P62269"
"O95816","P62269"
"P03407","P06241"
"P42684","P06241"
"Q13905","P06241"
"Q92900","P11940"
"Q8WWM7","P11940"
"Q9WPI5","P11940"
"O00429","P11940"
"O95793","P11940"
"P19320","P11940"
"Q5T7N2","P11940"
"P56945","P11940"
"Q9UPQ9","P11940"
"O60716","P11940"
"Q99497","P11940"
