"mProtein","dProtein"
"Q14728","Q6NUS6"
"Q9NVV0","Q6NUS6"
"Q96S52","Q6NUS6"
"Q9Y394","Q6NUS6"
"P39656","Q6NUS6"
"Q8N0U8","Q6NUS6"
"O95197","Q6NUS6"
"P51572","Q6NUS6"
"Q9BTV4","Q6NUS6"
"Q96G23","Q6NUS6"
"O00264","Q6NUS6"
"O15173","Q6NUS6"
"Q3ZAQ7","Q6NUS6"
"Q6P1A2","Q6NUS6"
"Q96JJ7","Q6NUS6"
"Q4KMQ2","Q6NUS6"
"Q8TCT9","Q6NUS6"
"P27544","Q6NUS6"
"P49257","Q6NUS6"
"Q96A33","Q6NUS6"
"Q15125","Q6NUS6"
"Q8N6L1","Q6NUS6"
"P04843","O43765"
"O75830","O43765"
"O75509","O43765"
"Q68CJ9","O43765"
"Q15293","O43765"
"Q9HCN8","O43765"
"O95881","O43765"
"Q9Y680","O43765"
"Q96DN0","O43765"
"Q969H8","O43765"
"P30040","O43765"
"Q8TD06","O43765"
"Q99675","Q8TDT2"
"Q9NTJ5","Q8TDT2"
"Q9BQB6","Q8TDT2"
"Q5BJF2","Q8TDT2"
"Q15125","Q8TDT2"
"Q9HCN8","Q96EQ0"
"Q15084","Q96EQ0"
"Q15293","Q96EQ0"
"P27797","Q96EQ0"
"P30040","Q96EQ0"
"Q9H173","Q96EQ0"
"Q3ZAQ7","Q96GX1"
"P39656","Q96GX1"
"Q9Y394","Q96GX1"
"P51572","Q96GX1"
"Q14728","Q96GX1"
"Q96G23","Q96GX1"
"O96005","Q96GX1"
"Q9NVV0","Q96GX1"
"Q4KMQ2","Q96GX1"
"O15173","Q96GX1"
"Q8N0U8","Q96GX1"
"Q9BTV4","Q96GX1"
"Q8N6L1","Q96GX1"
"O15260","Q96GX1"
"Q15125","Q96GX1"
"Q96A33","Q96GX1"
"Q9P035","Q96GX1"
"P49257","Q96GX1"
"Q8TCT9","Q96GX1"
"P27797","Q96GX1"
"P13667","Q96GX1"
"P11021","Q96GX1"
"Q9H0W8","Q99471"
"O14503","Q99471"
"P61758","Q99471"
"P61289","Q99471"
"O95872","Q99471"
"Q86YD7","Q99471"
"Q9H2A3","Q99471"
"Q2WGJ6","Q99471"
"Q03014","Q99471"
"Q9BVN2","Q99471"
"Q5T681","Q99471"
"Q8ND83","Q99471"
"Q92844","Q99471"
"Q0VD86","Q99471"
"O43189","Q99471"
"Q3KP44","Q99471"
"Q8IYX7","Q99471"
"Q7L4I2","Q99471"
"B7ZLI8","Q99471"
"P78337","Q99471"
"O00308","Q9BVN2"
"O15160","Q9BVN2"
"Q71SY5","Q9BVN2"
"Q93074","Q9NWA0"
"O75448","Q9NWA0"
"Q9Y3C7","Q9NWA0"
"Q9NVC6","Q9NWA0"
"O95402","Q9NWA0"
"Q9Y2X0","Q9NWA0"
"O75586","Q9NWA0"
"Q15648","Q9NWA0"
"O43513","Q9NWA0"
"Q9HCP6","Q9Y320"
"Q8N609","Q9Y320"
"Q5BJF2","Q9Y320"
"Q96BI1","Q9Y320"
"A0PK00","Q9Y320"
"Q7Z5P4","Q9Y320"
"Q9NTJ5","Q9Y320"
"Q8NBQ5","Q9Y320"
"Q13641","O14908"
"Q9HB19","O14908"
"P17643","O14908"
"Q92688","O60684"
"Q96C86","O60684"
"Q15637","O60684"
"O43148","O60684"
"Q16594","O60684"
"P20700","O60684"
"P78424","O60684"
"P46087","O60684"
"X5D778","O60684"
"Q9BUI4","O60684"
"Q9HAN9","O60684"
"Q92993","O60684"
"P02545","O60684"
"O14893","O60684"
"Q86YD7","O60684"
"P22307","P04040"
"Q9BTZ2","P04040"
"Q9UJ83","P04040"
"P34913","P04040"
"P51659","P04040"
"Q9Y2Q3","P04040"
"O15254","P04040"
"Q15067","P04040"
"Q6YN16","P04040"
"Q86WA8","P04040"
"O75521","P04040"
"Q08426","P04040"
"P04040","P04040"
"Q9BY49","P04040"
"A8MXV4","P04040"
"Q9NUI1","P04040"
"Q8IV20","P04040"
"P11413","P04040"
"O94763","P36873"
"Q12972","P36873"
"Q14684","P36873"
"P05412","P36873"
"O60927","P36873"
"Q96QC0","P36873"
"Q69YH5","P36873"
"Q9NWS0","P36873"
"Q5T749","P40692"
"P15173","P40692"
"Q96GN5","P40692"
"Q9BX63","P40692"
"Q9UDV6","P40692"
"Q969T7","P40692"
"Q96PP4","P40692"
"O76039","P40692"
"Q6NSI4","P40692"
"Q16658","P40692"
"Q7Z6R9","P40692"
"O15055","P40692"
"P08133","P40692"
"Q6NX45","P40692"
"Q6RVD6","P40692"
"Q9H0I2","P40692"
"Q8N6Y0","P53365"
"Q8TBB1","P53365"
"A1L4K1","P53365"
"P37198","P53365"
"P31040","P61254"
"P29350","P61254"
"Q9BPZ7","P61254"
"Q14213","P61769"
"P43629","P61769"
"Q03518","P61769"
"Q14943","P61769"
"Q14954","P61769"
"Q13148","Q04206"
"Q9Y2K7","Q04206"
"Q96L73","Q04206"
"O60885","Q04206"
"Q96EB6","Q04206"
"P05412","Q04206"
"P78545","Q04206"
"Q53EL6","Q04206"
"P46695","Q04206"
"Q13547","Q04206"
"P51531","Q04206"
"P47712","Q04206"
"P03372","Q12959"
"A1A5B4","Q12959"
"Q96KB5","Q12959"
"P0C2L3","Q12959"
"Q86XJ0","Q12959"
"Q5VV41","Q12959"
"P22001","Q12959"
"Q96PE1","Q12959"
"Q9ULK5","Q12959"
"Q9C0D5","Q12959"
"O15427","Q12959"
"Q14957","Q12959"
"Q7Z628","Q12959"
"Q9NQ90","Q12959"
"O60447","Q12959"
"Q9UQB3","Q12959"
"P78536","Q12959"
"P33402","Q12959"
"P34998","Q12959"
"P36507","Q12959"
"Q9NTX7","Q12959"
"Q5VV41","Q14160"
"P25100","Q14160"
"P23508","Q14160"
"Q9NS75","Q14160"
"P22460","Q14160"
"P33402","Q14160"
"P20020","Q14160"
"Q14CM0","Q14160"
"P53778","Q14160"
"Q15311","Q14160"
"Q9P0K1","Q14160"
"Q01814","Q14160"
"Q9C0D5","Q14160"
"Q99569","Q14160"
"P34998","Q14160"
"Q14D04","Q14160"
"Q9UQB3","Q14160"
"P19320","Q14160"
"Q9GZV5","Q14160"
"P25054","Q14160"
"Q96GG9","Q14160"
"Q9UDY2","Q14160"
"P0C2L3","Q14160"
"A6NIX2","Q14160"
"P35222","Q14160"
"P46937","Q14160"
"Q15349","Q14160"
"Q15418","Q14160"
"P00533","Q14457"
"Q8NEB9","Q14457"
"A4D1P6","Q14457"
"Q13895","Q16637"
"P22087","Q16637"
"P62314","Q16637"
"Q9Y3Y2","Q16637"
"P38432","Q16637"
"P11021","Q2MV58"
"Q15293","Q2MV58"
"Q8NBS9","Q2MV58"
"P14314","Q2MV58"
"Q14257","Q2MV58"
"Q32P28","Q2MV58"
"P50454","Q2MV58"
"P14625","Q2MV58"
"Q9NYU1","Q2MV58"
"Q8IXB1","Q2MV58"
"Q15084","Q2MV58"
"Q9Y2B0","Q2MV58"
"P07237","Q2MV58"
"Q7Z4H8","Q2MV58"
"Q8NBJ5","Q2MV58"
"Q9HCN8","Q2MV58"
"Q9NYU2","Q2MV58"
"P27797","Q2MV58"
"P55145","Q2MV58"
"P30040","Q2MV58"
"Q14696","Q2MV58"
"P13667","Q2MV58"
"Q9Y4L1","Q2MV58"
"P30101","Q2MV58"
"O43852","Q2MV58"
"P04843","Q2MV58"
"P51572","Q2MV58"
"Q13724","Q2MV58"
"Q96BA8","Q96GQ5"
"Q8N6S5","Q96GQ5"
"P15260","Q96GQ5"
"Q6GQQ9","Q96LI6"
"O75603","Q96LI6"
"O95947","Q96LI6"
"B4DE54","Q96LI6"
"P28331","Q96LI6"
"O60248","Q96LI6"
"Q86UW9","Q96LI6"
"Q7Z3K3","Q99732"
"O75886","Q99732"
"Q15025","Q99732"
"P46934","Q99732"
"Q5T6F2","Q9BUR4"
"P38432","Q9BUR4"
"Q99832","Q9BUR4"
"Q9Y3C7","Q9NX70"
"O75586","Q9NX70"
"Q9NVC6","Q9NX70"
"Q9P0T4","Q9UPG8"
"P28482","Q9UPG8"
"Q96HB5","Q9UPG8"
"Q9C086","Q9UPG8"
"P35222","Q9Y297"
"Q16621","Q9Y297"
"Q13127","Q9Y297"
"P10070","Q9Y297"
"Q5D1E8","Q9Y297"
"P46937","Q9Y297"
"O75410","Q9Y297"
"Q12959","Q9Y297"
"Q3KP66","Q9Y297"
"P19838","Q9Y297"
"P18848","Q9Y297"
"P30304","Q9Y297"
"Q13651","Q9Y297"
"O00444","Q9Y297"
"O15169","Q9Y297"
"P49427","Q9Y297"
"Q9C026","Q9Y297"
"Q9Y2T1","Q9Y297"
"Q5HYW2","Q9Y297"
"Q9NQ86","Q9Y297"
