"mProtein","dProtein"
"Q14728","Q6NUS6"
"Q9NVV0","Q6NUS6"
"Q96S52","Q6NUS6"
"Q9Y394","Q6NUS6"
"P39656","Q6NUS6"
"Q8N0U8","Q6NUS6"
"O95197","Q6NUS6"
"P51572","Q6NUS6"
"Q9BTV4","Q6NUS6"
"Q96G23","Q6NUS6"
"O00264","Q6NUS6"
"O15173","Q6NUS6"
"Q3ZAQ7","Q6NUS6"
"Q6P1A2","Q6NUS6"
"Q96JJ7","Q6NUS6"
"Q4KMQ2","Q6NUS6"
"Q8TCT9","Q6NUS6"
"P27544","Q6NUS6"
"P49257","Q6NUS6"
"Q96A33","Q6NUS6"
"Q15125","Q6NUS6"
"Q8N6L1","Q6NUS6"
"Q96JC9","Q6PI77"
"Q9H0I2","Q6PI77"
"Q8WVC0","Q6PI77"
"Q969R5","Q6PI77"
"Q8IVT2","Q6PI77"
"Q9BWG6","Q6PF18"
"Q8IVS8","Q6PF18"
"Q13064","Q6PF18"
"Q63ZY3","Q6PF18"
"O43741","Q6PF18"
"Q8WYR4","Q6PF18"
"P51687","Q6PF18"
"P18077","Q86VM9"
"P08670","Q86VM9"
"P62829","Q86VM9"
"P16104","Q86VM9"
"Q09161","Q86VM9"
"P62805","Q86VM9"
"P20671","Q86VM9"
"O75367","Q86VM9"
"P39023","Q86VM9"
"P55040","Q8N1B4"
"Q9BWG6","Q8N1B4"
"Q53TS8","Q8N1B4"
"Q13895","Q8N1B4"
"Q96NC0","Q8N1B4"
"Q86WQ0","Q8N1B4"
"V9HW29","Q8N1B4"
"Q99459","Q8N1B4"
"Q8N3L3","Q8N1B4"
"Q9Y247","Q8N1B4"
"Q96GS4","Q8N1B4"
"Q8IVT4","Q8N1B4"
"Q13131","Q8N1B4"
"Q8N8B7","Q8N1B4"
"Q15561","Q8N1B4"
"C9JG97","Q8N1B4"
"O14964","Q8N1B4"
"O75558","Q8N1B4"
"Q9BSJ6","Q8N1B4"
"Q9P2K6","Q8N1B4"
"Q8TAE8","Q8N5N7"
"Q9NQ50","Q8N5N7"
"Q9BYD2","Q8N5N7"
"Q9H2W6","Q8N5N7"
"Q7Z7H8","Q8N5N7"
"Q9BYD6","Q8N5N7"
"O14530","Q8N720"
"Q8N6Y0","Q8N720"
"Q8WV44","Q8N720"
"Q9BXS5","Q8N720"
"Q96GM5","Q8N720"
"Q9Y2B5","Q8N720"
"P04843","O43765"
"O75830","O43765"
"O75509","O43765"
"Q68CJ9","O43765"
"Q15293","O43765"
"Q9HCN8","O43765"
"O95881","O43765"
"Q9Y680","O43765"
"Q96DN0","O43765"
"Q969H8","O43765"
"P30040","O43765"
"Q8TD06","O43765"
"Q8WW24","Q8NI38"
"P78412","Q8NI38"
"P52597","Q8NI38"
"Q0VD86","Q8NI38"
"P31943","Q8NI38"
"P53672","Q8NI38"
"Q99675","Q8TDT2"
"Q9NTJ5","Q8TDT2"
"Q9BQB6","Q8TDT2"
"Q5BJF2","Q8TDT2"
"Q15125","Q8TDT2"
"A0PK00","Q8TED1"
"Q8N0U8","Q8TED1"
"Q8TBM7","Q8TED1"
"Q69YG0","Q8TED1"
"Q6TCH4","Q8TED1"
"Q92520","Q8TED1"
"O00560","Q8WW34"
"P17544","Q8WW34"
"Q9UNA4","Q8WW34"
"Q8NI60","Q8WW34"
"Q9HC62","Q8WW34"
"P17066","Q92905"
"Q53G59","Q92905"
"P09936","Q92905"
"Q5VTR2","Q92905"
"Q9UNS2","Q92905"
"Q5VUJ6","Q92905"
"P53355","Q92905"
"Q93034","Q92905"
"Q9HCN8","Q96EQ0"
"Q15084","Q96EQ0"
"Q15293","Q96EQ0"
"P27797","Q96EQ0"
"P30040","Q96EQ0"
"Q9H173","Q96EQ0"
"Q3ZAQ7","Q96GX1"
"P39656","Q96GX1"
"Q9Y394","Q96GX1"
"P51572","Q96GX1"
"Q14728","Q96GX1"
"Q96G23","Q96GX1"
"O96005","Q96GX1"
"Q9NVV0","Q96GX1"
"Q4KMQ2","Q96GX1"
"O15173","Q96GX1"
"Q8N0U8","Q96GX1"
"Q9BTV4","Q96GX1"
"Q8N6L1","Q96GX1"
"O15260","Q96GX1"
"Q15125","Q96GX1"
"Q96A33","Q96GX1"
"Q9P035","Q96GX1"
"P49257","Q96GX1"
"Q8TCT9","Q96GX1"
"P27797","Q96GX1"
"P13667","Q96GX1"
"P11021","Q96GX1"
"Q96SN8","Q96R06"
"Q15648","Q96R06"
"Q96JN8","Q96R06"
"Q9H0W8","Q99471"
"O14503","Q99471"
"P61758","Q99471"
"P61289","Q99471"
"O95872","Q99471"
"Q86YD7","Q99471"
"Q9H2A3","Q99471"
"Q2WGJ6","Q99471"
"Q03014","Q99471"
"Q9BVN2","Q99471"
"Q5T681","Q99471"
"Q8ND83","Q99471"
"Q92844","Q99471"
"Q0VD86","Q99471"
"O43189","Q99471"
"Q3KP44","Q99471"
"Q8IYX7","Q99471"
"Q7L4I2","Q99471"
"B7ZLI8","Q99471"
"P78337","Q99471"
"P14735","Q99807"
"P06576","Q99807"
"Q07021","Q99807"
"O75891","Q99807"
"Q8NI60","Q99807"
"O00308","Q9BVN2"
"O15160","Q9BVN2"
"Q71SY5","Q9BVN2"
"Q9NQL9","Q9BYQ3"
"Q8TBB1","Q9BYQ3"
"P15151","Q9BYQ3"
"Q8NEC5","Q9BYQ3"
"Q0VD86","Q9BYQ3"
"P25490","Q9BYQ3"
"P62136","Q9BZS1"
"Q9UKT9","Q9BZS1"
"P13674","Q9BZS1"
"Q9UNE7","Q9BZS1"
"Q93062","Q9BZS1"
"P11047","Q9H6K4"
"P38646","Q9H6K4"
"Q9H078","Q9H6K4"
"P14735","Q9H6K4"
"Q14257","Q9H6K4"
"P25705","Q9H6K4"
"Q6P1W5","Q9H8Y8"
"O75348","Q9H8Y8"
"Q15008","Q9H8Y8"
"Q6ZVD7","Q9H8Y8"
"P11926","Q9H8Y8"
"Q8WZ55","Q9HB07"
"Q9NZD8","Q9HB07"
"Q6Q788","Q9HB07"
"Q86X24","Q9HB07"
"Q9P0J0","O75489"
"P17568","O75489"
"O75208","O75489"
"P48047","O75489"
"P31930","O75489"
"Q13011","O75489"
"Q93074","Q9NWA0"
"O75448","Q9NWA0"
"Q9Y3C7","Q9NWA0"
"Q9NVC6","Q9NWA0"
"O95402","Q9NWA0"
"Q9Y2X0","Q9NWA0"
"O75586","Q9NWA0"
"Q15648","Q9NWA0"
"O43513","Q9NWA0"
"Q53TS8","Q9UBB9"
"Q96NC0","Q9UBB9"
"Q9P291","Q9UBB9"
"Q14687","Q9UBB9"
"Q9UHR5","Q9UBB9"
"Q2M2Z5","Q9UBB9"
"Q8IVT4","Q9UBB9"
"Q9NRD5","Q9UBB9"
"Q8IYX3","Q9UBB9"
"O95696","Q9UBB9"
"Q86YD7","Q9UBB9"
"Q9NRE2","Q9UBB9"
"Q13895","Q9UBB9"
"A0A0A0MR97","Q9UBB9"
"Q9NV31","Q9UBB9"
"O43143","Q9UBB9"
"Q9HC52","Q9UBB9"
"Q9UBB9","Q9UBB9"
"Q9BWG6","Q9UBB9"
"Q9BW11","Q9UBB9"
"Q9P2K3","Q9UBB9"
"Q9UER7","Q9UBB9"
"Q96ES7","Q9UBB9"
"O75031","Q9UBB9"
"Q9UHL0","Q9UBB9"
"P25800","Q9UBB9"
"Q9NRI5","Q9UBB9"
"Q8IYI6","Q9UBB9"
"Q8N5A5","Q9UBB9"
"Q13064","Q9UBB9"
"O60341","Q9UBB9"
"Q63ZY3","Q9UBB9"
"O14777","Q9UBB9"
"O43482","Q9UBB9"
"Q969G5","Q9UBB9"
"Q13671","Q9UBB9"
"Q9UMS0","Q9UBB9"
"P62195","Q9UBB9"
"O15169","Q9UBB9"
"Q96HB5","Q9UBB9"
"P04264","Q9UBB9"
"O75145","Q9UBB9"
"Q13573","Q9UBB9"
"Q96LC9","Q9UBB9"
"Q9NYB9","Q9UBB9"
"A0A0S2Z6H0","Q9UBB9"
"Q53FD0","Q9UBB9"
"Q03252","Q9UBB9"
"O75604","Q9UBB9"
"A0A0S2Z4M1","Q9UBB9"
"P03372","Q9UBB9"
"A0A024R8L2","Q9UBB9"
"O15287","Q9UBB9"
"Q9UJ04","Q9UBB9"
"P05787","Q9UBB9"
"Q9H7H0","Q9UBB9"
"P62851","Q9UBX2"
"P14649","Q9UBX2"
"P30050","Q9UBX2"
"P07900","Q9UHH9"
"Q93062","Q9UHH9"
"P04637","Q9UHH9"
"O60568","Q9UHH9"
"P17661","Q9UL15"
"Q6VAB6","Q9UL15"
"Q9BPY3","Q9UL15"
"Q9NUQ3","Q9Y2D8"
"Q9BY89","Q9Y2D8"
"Q9BVV2","Q9Y2D8"
