uniprot_A,uniprot_B,Entry_name_A,Entry_name_B,Gene_A,Gene_B,org_A,org_B,interaction_type,V1,V2
P06461,P21964,P06461,comt_human,P06461,COMT,hpv6b,human,association;,1,0
P12520,Q2PZI1,vpr_hv1n5,d19l1_human,vpr,DPY19L1,hv1n5,human,association;,2,0
P0CK58,Q8IUD2,balf1_ebvb9,rb6i2_human,balf1_ebvb9,ERC1,ebvb9,human,association;,1,0
P27958,Q8NEG0,P27958,fa71c_human,P27958,FAM71C,hcvh,human,association;,1,0
Q6P1W5,Q9WMX2,ca094_human,Q9WMX2,C1orf94,Q9WMX2,human,hcvco,physical association;,1,2
A0A142I5B9,P52701,A0A142I5B9,msh6_human,A0A142I5B9,MSH6,ZIKVK,human,association;,2,0
Q9Y2D1,P0C6X7,atf5_human,p0c6x7-pro_0000037317,ATF5,rep,human,sars-cov,physical association;,2,0
Q9WMB5,Q13362,ncap_measc,2a5g_human,N,PPP2R5C,measc,human,association;,1,0
P03179,Q9BQB6,mtp_ebvb9,vkor1_human,mtp_ebvb9,VKORC1,ebvb9,human,association;,1,0
P03466,O60812,ncap_i34a1,hnrc1_human,NP,HNRNPCL1,i34a1,human,association;,4,0
E5LBS6,Q9UPU5,e5lbs6_hhv8,ubp24_human,ORF10,USP24,hhv8,human,association;,1,0
P0CK56,P98194,ul92_ebvb9,at2c1_human,ul92_ebvb9,ATP2C1,ebvb9,human,association;,1,0
P09613,P55060,gp_uuks,xpo2_human,GP,CSE1L,Uuk,human,association;,1,0
C5E527,Q9HBE1,c5e527_9infa,patz1_human,PB2,PATZ1,A/New York/1682/2009(H1N1),human,association;,2,0
P04578,Q15782,env_hv1h2,ch3l2_human,env,CHI3L2,hv1h2,human,association;,1,0
P0DTD1,O15381,p0dtd1-pro_0000449632,nvl_human,rep,NVL,SARS-CoV-2,human,association;,2,0
P03120,P22314,ve2_hpv16,uba1_human,E2,UBA1,hpv16,human,physical association;,1,1
B4URF7,Q9NY74,b4urf7_i33a0,etaa1_human,PB2,ETAA1,i33a0,human,association;,2,0
Q5JTC6,P29991,amer1_human,P29991,AMER1,P29991,human,den27,physical association;,1,0
A0A142I5B9,Q9UM00,A0A142I5B9,tmco1_human,A0A142I5B9,TMCO1,ZIKVK,human,association;,2,0
C5E526,Q96A33,c5e526_9infa,ccd47_human,PB1,CCDC47,A/New York/1682/2009(H1N1),human,association;,2,0
P13285,Q8IZ07,lmp2_ebvb9,an13a_human,LMP2,ANKRD13A,ebvb9,human,association;,1,0
P06792,O00391,ve5_hpv18,qsox1_human,E5,QSOX1,hpv18,human,association;,1,1
C5E519,Q5T160,c5e519_9infa,syrm_human,M2,RARS2,A/New York/1682/2009(H1N1),human,association;,1,0
A0A142I5B9,Q3ZCQ8,A0A142I5B9,tim50_human,A0A142I5B9,TIMM50,ZIKVK,human,association;,1,0
P29991,Q14980,P29991,numa1_human,P29991,NUMA1,den27,human,physical association;,1,0
E7ELX2,Q14257,E7ELX2,rcn2_human,E7ELX2,RCN2,recombinant hepatitis c virus j6/jfh1(ed43-ns5a),human,association;,1,0
Q8V1E7,P61978,q8v1e7_asf,hnrpk_human,C'204L,HNRNPK,asfv,human,physical association;colocalization;,5,0
P06933,Q05086,ve7_bpv1,ube3a_human,E7,UBE3A,bpv1,human,physical association;,1,0
O40948,Q68D85,o40948_hhv8,nr3l1_human,K14,NCR3LG1,hhv8,human,association;,1,0
Q8AZJ3,Q7Z4F1,bnl2b_ebvb9,lrp10_human,bnl2b_ebvb9,LRP10,ebvb9,human,association;,1,0
P03495,O60814,ns1_i72a2,h2b1k_human,NS,H2BC12,i72a2,human,association;,1,0
P03246,O14773,e1bs_ade05,tpp1_human,e1bs_ade05,TPP1,ade05,human,association;,1,1
P0C739,P60468,bnl2a_ebvb9,sc61b_human,bnl2a_ebvb9,SEC61B,ebvb9,human,association;,1,0
P0DOE9,P31689,ns1_hrsva,dnja1_human,1C,DNAJA1,hrsva,human,association;,1,0
P05412,Q9DGW5,jun_human,meq_gahvm,JUN,MDV005,human,gahvm,direct interaction;,2,0
P03179,P09543,mtp_ebvb9,cn37_human,mtp_ebvb9,CNP,ebvb9,human,association;,1,0
P0CK56,O60831,ul92_ebvb9,praf2_human,ul92_ebvb9,PRAF2,ebvb9,human,association;,1,0
Q3SBS4,P27986,q3sbs4_9infa,p85a_human,NS,PIK3R1,h9n2),human,physical association;,1,0
P0DTD1,Q9Y5J6,p0dtd1-pro_0000449622,t10b_human,rep,TIMM10B,SARS-CoV-2,human,association;,1,0
Q00335,Q9BQE3,mu2_reovl,tba1c_human,M1,TUBA1C,reovl,human,association;,1,0
B9VXK6,Q71UM5,b9vxk6_hcmvt,rs27l_human,UL36,RPS27L,hcmvt,human,association;,1,0
B4URF7,Q96CS2,b4urf7_i33a0,haus1_human,PB2,HAUS1,i33a0,human,association;,1,0
P06463,Q9NQC7,ve6_hpv18,cyld_human,E6,CYLD,hpv18,human,association;,1,0
P63165,P01104,sumo1_human,myb_avimb,SUMO1,V-MYB,human,avimb,physical association;,1,0
P12792,Q99536,nss_sfsv,vat1_human,NSS,VAT1,sfsv,human,association;,1,0
