PFAM_ID	ID
PF00001	GO:0004930
PF00001	GO:0007186
PF00001	GO:0016021
PF00002	GO:0004930
PF00002	GO:0007186
PF00002	GO:0016021
PF00003	GO:0004930
PF00003	GO:0007186
PF00003	GO:0016021
PF00004	GO:0005524
PF00004	GO:0016887
PF00005	GO:0005524
PF00006	GO:0005524
PF00009	GO:0003924
PF00009	GO:0005525
PF00010	GO:0046983
PF00012	GO:0005524
PF00012	GO:0016887
PF00013	GO:0003723
PF00014	GO:0004867
PF00018	GO:0005515
PF00019	GO:0008083
PF00020	GO:0005515
PF00023	GO:0005515
PF00025	GO:0005525
PF00028	GO:0005509
PF00028	GO:0007156
PF00028	GO:0016020
PF00031	GO:0004869
PF00032	GO:0009055
PF00032	GO:0016491
PF00032	GO:0016020
PF00033	GO:0009055
PF00033	GO:0016491
PF00033	GO:0016020
PF00034	GO:0009055
PF00034	GO:0020037
PF00036	GO:0005509
PF00039	GO:0005576
PF00041	GO:0005515
PF00042	GO:0020037
PF00044	GO:0051287
PF00044	GO:0055114
PF00046	GO:0003677
PF00048	GO:0008009
PF00048	GO:0006955
PF00048	GO:0005576
PF00049	GO:0005179
PF00049	GO:0005576
PF00050	GO:0005515
PF00056	GO:0016491
PF00056	GO:0055114
PF00057	GO:0005515
PF00060	GO:0015276
PF00060	GO:0016020
PF00063	GO:0003774
PF00063	GO:0005524
PF00063	GO:0016459
PF00067	GO:0005506
PF00067	GO:0016705
PF00067	GO:0020037
PF00067	GO:0055114
PF00068	GO:0004623
PF00068	GO:0006644
PF00068	GO:0050482
PF00069	GO:0004672
PF00069	GO:0005524
PF00069	GO:0006468
PF00071	GO:0003924
PF00071	GO:0005525
PF00075	GO:0003676
PF00075	GO:0004523
PF00076	GO:0003676
PF00080	GO:0046872
PF00080	GO:0006801
PF00081	GO:0004784
PF00081	GO:0046872
PF00081	GO:0006801
PF00081	GO:0055114
PF00082	GO:0008236
PF00082	GO:0006508
PF00083	GO:0022857
PF00083	GO:0055085
PF00083	GO:0016021
PF00089	GO:0004252
PF00089	GO:0006508
PF00091	GO:0003924
PF00093	GO:0005515
PF00095	GO:0030414
PF00095	GO:0005576
PF00097	GO:0046872
PF00098	GO:0003676
PF00098	GO:0008270
PF00102	GO:0004725
PF00102	GO:0006470
PF00103	GO:0005179
PF00103	GO:0005576
PF00105	GO:0003700
PF00105	GO:0008270
PF00105	GO:0043565
PF00105	GO:0006355
PF00106	GO:0055114
PF00107	GO:0055114
PF00108	GO:0016747
PF00110	GO:0005102
PF00110	GO:0007275
PF00110	GO:0016055
PF00110	GO:0005576
PF00111	GO:0009055
PF00111	GO:0051536
PF00112	GO:0008234
PF00112	GO:0006508
PF00115	GO:0004129
PF00115	GO:0020037
PF00115	GO:0009060
PF00115	GO:0055114
PF00115	GO:0016021
PF00116	GO:0004129
PF00116	GO:0005507
PF00116	GO:0016020
PF00118	GO:0005524
PF00118	GO:0016887
PF00119	GO:0015078
PF00119	GO:0015986
PF00119	GO:0045263
PF00120	GO:0004356
PF00120	GO:0006807
PF00121	GO:0004807
PF00123	GO:0005179
PF00123	GO:0005576
PF00125	GO:0003677
PF00128	GO:0003824
PF00128	GO:0005975
PF00130	GO:0035556
PF00131	GO:0046872
PF00133	GO:0000166
PF00133	GO:0004812
PF00133	GO:0005524
PF00133	GO:0006418
PF00136	GO:0000166
PF00136	GO:0003677
PF00137	GO:0015078
PF00137	GO:1902600
PF00137	GO:0033177
PF00143	GO:0005126
PF00143	GO:0006952
PF00143	GO:0005576
PF00145	GO:0008168
PF00146	GO:0055114
PF00146	GO:0016020
PF00149	GO:0016787
PF00151	GO:0004806
PF00152	GO:0000166
PF00152	GO:0004812
PF00152	GO:0005524
PF00152	GO:0006418
PF00155	GO:0030170
PF00155	GO:0009058
PF00156	GO:0009116
PF00157	GO:0003700
PF00157	GO:0006355
PF00159	GO:0005179
PF00159	GO:0005576
PF00160	GO:0003755
PF00160	GO:0000413
PF00162	GO:0004618
PF00162	GO:0006096
PF00163	GO:0019843
PF00164	GO:0003735
PF00164	GO:0006412
PF00164	GO:0005840
PF00166	GO:0005524
PF00166	GO:0016887
PF00166	GO:0006457
PF00167	GO:0008083
PF00170	GO:0003700
PF00170	GO:0006355
PF00171	GO:0016491
PF00171	GO:0055114
PF00175	GO:0016491
PF00175	GO:0055114
PF00176	GO:0005524
PF00176	GO:0070615
PF00178	GO:0003700
PF00178	GO:0043565
PF00178	GO:0006355
PF00180	GO:0016616
PF00180	GO:0055114
PF00181	GO:0003735
PF00181	GO:0006412
PF00181	GO:0005840
PF00183	GO:0005524
PF00183	GO:0016887
PF00183	GO:0051082
PF00183	GO:0006457
PF00184	GO:0005185
PF00184	GO:0005576
PF00185	GO:0016597
PF00185	GO:0016743
PF00185	GO:0006520
PF00186	GO:0004146
PF00186	GO:0046654
PF00186	GO:0055114
PF00189	GO:0003735
PF00189	GO:0006412
PF00191	GO:0005509
PF00191	GO:0005544
PF00193	GO:0005540
PF00193	GO:0007155
PF00198	GO:0016746
PF00199	GO:0004096
PF00199	GO:0020037
PF00199	GO:0055114
PF00201	GO:0008194
PF00202	GO:0008483
PF00202	GO:0030170
PF00203	GO:0003735
PF00203	GO:0006412
PF00203	GO:0005840
PF00204	GO:0003677
PF00204	GO:0003918
PF00204	GO:0005524
PF00204	GO:0006265
PF00205	GO:0000287
PF00205	GO:0030976
PF00207	GO:0004866
PF00208	GO:0016491
PF00208	GO:0006520
PF00208	GO:0055114
PF00209	GO:0016021
PF00210	GO:0008199
PF00211	GO:0009190
PF00211	GO:0035556
PF00212	GO:0005179
PF00212	GO:0005576
PF00213	GO:0046933
PF00213	GO:0015986
PF00214	GO:0005179
PF00214	GO:0005576
PF00215	GO:0004590
PF00215	GO:0006207
PF00217	GO:0016301
PF00217	GO:0016772
PF00219	GO:0005520
PF00219	GO:0005576
PF00220	GO:0005185
PF00220	GO:0005576
PF00224	GO:0000287
PF00224	GO:0004743
PF00224	GO:0030955
PF00224	GO:0006096
PF00225	GO:0005524
PF00225	GO:0008017
PF00225	GO:1990939
PF00225	GO:0007018
PF00227	GO:0051603
PF00227	GO:0005839
PF00229	GO:0005164
PF00229	GO:0006955
PF00229	GO:0016020
PF00230	GO:0015267
PF00230	GO:0055085
PF00230	GO:0016020
PF00231	GO:0046933
PF00231	GO:0015986
PF00231	GO:0045261
PF00232	GO:0004553
PF00232	GO:0005975
PF00233	GO:0004114
PF00233	GO:0007165
PF00235	GO:0003779
PF00236	GO:0005179
PF00236	GO:0005576
PF00237	GO:0003735
PF00237	GO:0006412
PF00237	GO:0005840
PF00238	GO:0003735
PF00238	GO:0006412
PF00238	GO:0005840
PF00240	GO:0005515
PF00241	GO:0003779
PF00243	GO:0005102
PF00245	GO:0016791
PF00246	GO:0004181
PF00246	GO:0008270
PF00246	GO:0006508
PF00248	GO:0047834
PF00250	GO:0003700
PF00250	GO:0043565
PF00250	GO:0006355
PF00252	GO:0003735
PF00252	GO:0006412
PF00252	GO:0005840
PF00253	GO:0003735
PF00253	GO:0006412
PF00253	GO:0005840
PF00254	GO:0003755
PF00255	GO:0004602
PF00255	GO:0006979
PF00255	GO:0055114
PF00258	GO:0010181
PF00260	GO:0003677
PF00260	GO:0007283
PF00260	GO:0000786
PF00260	GO:0005634
PF00262	GO:0005509
PF00262	GO:0051082
PF00262	GO:0006457
PF00262	GO:0005783
PF00264	GO:0016491
PF00265	GO:0004797
PF00265	GO:0005524
PF00268	GO:0009263
PF00270	GO:0003676
PF00270	GO:0005524
PF00273	GO:0005615
PF00274	GO:0004332
PF00274	GO:0006096
PF00276	GO:0003735
PF00276	GO:0006412
PF00276	GO:0005840
PF00277	GO:0005576
PF00278	GO:0003824
PF00282	GO:0016831
PF00282	GO:0030170
PF00282	GO:0019752
PF00285	GO:0046912
PF00287	GO:0006813
PF00287	GO:0006814
PF00287	GO:0005890
PF00288	GO:0005524
PF00292	GO:0003677
PF00292	GO:0006355
PF00293	GO:0016787
PF00297	GO:0003735
PF00297	GO:0006412
PF00297	GO:0005840
PF00298	GO:0003735
PF00298	GO:0006412
PF00298	GO:0005840
PF00305	GO:0016702
PF00305	GO:0046872
PF00305	GO:0055114
PF00306	GO:0015986
PF00307	GO:0005515
PF00312	GO:0003735
PF00312	GO:0006412
PF00312	GO:0005840
PF00313	GO:0003676
PF00317	GO:0004748
PF00317	GO:0005524
PF00317	GO:0006260
PF00317	GO:0055114
PF00318	GO:0003735
PF00318	GO:0006412
PF00318	GO:0005840
PF00319	GO:0003677
PF00319	GO:0046983
PF00320	GO:0008270
PF00320	GO:0043565
PF00320	GO:0006355
PF00322	GO:0019229
PF00322	GO:0005576
PF00323	GO:0006952
PF00323	GO:0005576
PF00324	GO:0055085
PF00324	GO:0016020
PF00326	GO:0008236
PF00326	GO:0006508
PF00329	GO:0008137
PF00329	GO:0055114
PF00333	GO:0003723
PF00333	GO:0003735
PF00333	GO:0006412
PF00333	GO:0005840
PF00335	GO:0016021
PF00337	GO:0030246
PF00340	GO:0005125
PF00340	GO:0006954
PF00340	GO:0006955
PF00340	GO:0005615
PF00341	GO:0008083
PF00341	GO:0016020
PF00342	GO:0004347
PF00342	GO:0006094
PF00342	GO:0006096
PF00343	GO:0008184
PF00343	GO:0005975
PF00344	GO:0015031
PF00344	GO:0016020
PF00346	GO:0016651
PF00346	GO:0048038
PF00346	GO:0051287
PF00346	GO:0055114
PF00347	GO:0003735
PF00347	GO:0019843
PF00347	GO:0006412
PF00347	GO:0005840
PF00348	GO:0008299
PF00349	GO:0005524
PF00349	GO:0016773
PF00349	GO:0005975
PF00351	GO:0016714
PF00351	GO:0055114
PF00352	GO:0003677
PF00352	GO:0006352
PF00355	GO:0051537
PF00355	GO:0055114
PF00363	GO:0005576
PF00365	GO:0003872
PF00365	GO:0006096
PF00366	GO:0003735
PF00366	GO:0006412
PF00366	GO:0005840
PF00368	GO:0004420
PF00368	GO:0015936
PF00368	GO:0055114
PF00370	GO:0016773
PF00370	GO:0005975
PF00375	GO:0015293
PF00375	GO:0016021
PF00377	GO:0051260
PF00377	GO:0016020
PF00378	GO:0003824
PF00380	GO:0003735
PF00380	GO:0006412
PF00380	GO:0005840
PF00382	GO:0017025
PF00384	GO:0016491
PF00384	GO:0055114
PF00387	GO:0004435
PF00387	GO:0006629
PF00387	GO:0007165
PF00387	GO:0035556
PF00389	GO:0016616
PF00389	GO:0051287
PF00389	GO:0055114
PF00390	GO:0004471
