"","mProtein","Motif","Domain","dProtein"
"1","Q06124","LIG_SH2_GRB2","PF00017","P12931"
"2","Q06124","LIG_SH2_GRB2","PF00017","P16333"
"3","Q06124","LIG_SH2_GRB2","PF00017","O00459"
"4","Q06124","LIG_SH2_GRB2","PF00017","P08631"
"5","Q06124","LIG_SH2_GRB2","PF00017","Q92569"
"6","Q06124","LIG_SH2_GRB2","PF00017","P06239"
"7","Q06124","LIG_SH2_GRB2","PF00017","P06241"
"8","Q06124","LIG_SH2_GRB2","PF00017","P27986"
"9","Q06124","LIG_SH2_GRB2","PF00017","P40763"
"10","P05067","LIG_SH2_GRB2","PF00017","P12931"
"11","P05067","LIG_SH2_GRB2","PF00017","P16333"
"12","P05067","LIG_SH2_GRB2","PF00017","O00459"
"13","P05067","LIG_SH2_GRB2","PF00017","P08631"
"14","P05067","LIG_SH2_GRB2","PF00017","Q92569"
"15","P05067","LIG_SH2_GRB2","PF00017","P06239"
"16","P05067","LIG_SH2_GRB2","PF00017","P06241"
"17","P05067","LIG_SH2_GRB2","PF00017","P27986"
"18","P05067","LIG_SH2_GRB2","PF00017","P40763"
"19","Q14511","LIG_SH2_SRC","PF00017","P12931"
"20","Q14511","LIG_SH2_SRC","PF00017","P16333"
"21","Q14511","LIG_SH2_SRC","PF00017","O00459"
"22","Q14511","LIG_SH2_SRC","PF00017","P08631"
"23","Q14511","LIG_SH2_SRC","PF00017","Q92569"
"24","Q14511","LIG_SH2_SRC","PF00017","P06239"
"25","Q14511","LIG_SH2_SRC","PF00017","P06241"
"26","Q14511","LIG_SH2_SRC","PF00017","P27986"
"27","Q14511","LIG_SH2_SRC","PF00017","P40763"
"28","P04626","LIG_SH2_GRB2","PF00017","P12931"
"29","P04626","LIG_SH2_GRB2","PF00017","P16333"
"30","P04626","LIG_SH2_GRB2","PF00017","O00459"
"31","P04626","LIG_SH2_GRB2","PF00017","P08631"
"32","P04626","LIG_SH2_GRB2","PF00017","Q92569"
"33","P04626","LIG_SH2_GRB2","PF00017","P06239"
"34","P04626","LIG_SH2_GRB2","PF00017","P06241"
"35","P04626","LIG_SH2_GRB2","PF00017","P27986"
"36","P04626","LIG_SH2_GRB2","PF00017","P40763"
"37","Q14118","LIG_SH2_SRC","PF00017","P12931"
"38","Q14118","LIG_SH2_SRC","PF00017","P16333"
