"","mProtein","Motif","Domain","dProtein"
"1","Q9NWS0","DOC_MAPK_gen_1","PF00069","Q5S007"
"2","Q9NWS0","DOC_MAPK_gen_1","PF00069","Q9BWU1"
"3","Q9NVC6","DOC_MAPK_gen_1","PF00069","Q5S007"
"4","Q9NVC6","DOC_MAPK_gen_1","PF00069","Q9BWU1"
"5","Q12972","DOC_MAPK_gen_1","PF00069","Q5S007"
"6","Q12972","DOC_MAPK_gen_1","PF00069","Q9BWU1"
"7","Q14157","MOD_CK2_1","PF00069","Q5S007"
"8","Q14157","MOD_CK2_1","PF00069","Q9BWU1"
"9","P47712","DOC_MAPK_gen_1","PF00069","Q5S007"
"10","P47712","DOC_MAPK_gen_1","PF00069","Q9BWU1"
"11","O75694","MOD_CK2_1","PF00069","Q5S007"
"12","O75694","MOD_CK2_1","PF00069","Q9BWU1"
"13","P78344","MOD_CK2_1","PF00069","Q5S007"
"14","P78344","MOD_CK2_1","PF00069","Q9BWU1"
"15","Q69YH5","DOC_MAPK_gen_1","PF00069","Q5S007"
"16","Q69YH5","DOC_MAPK_gen_1","PF00069","Q9BWU1"
"17","A6NHR9","MOD_CK2_1","PF00069","Q5S007"
"18","A6NHR9","MOD_CK2_1","PF00069","Q9BWU1"
"19","O75586","DOC_MAPK_gen_1","PF00069","Q5S007"
"20","O75586","DOC_MAPK_gen_1","PF00069","Q9BWU1"
"21","Q92688","DOC_MAPK_gen_1","PF00069","Q5S007"
"22","Q92688","DOC_MAPK_gen_1","PF00069","Q9BWU1"
"23","P04075","MOD_CK2_1","PF00069","Q5S007"
"24","P04075","MOD_CK2_1","PF00069","Q9BWU1"
"25","O00291","MOD_CK2_1","PF00069","Q5S007"
"26","O00291","MOD_CK2_1","PF00069","Q9BWU1"
"27","Q96QC0","DOC_MAPK_gen_1","PF00069","Q5S007"
"28","Q96QC0","DOC_MAPK_gen_1","PF00069","Q9BWU1"
"29","Q9Y490","MOD_CK2_1","PF00069","Q5S007"
"30","Q9Y490","MOD_CK2_1","PF00069","Q9BWU1"
"31","Q93074","DOC_MAPK_gen_1","PF00069","Q5S007"
"32","Q93074","DOC_MAPK_gen_1","PF00069","Q9BWU1"
"33","Q99661","MOD_CK2_1","PF00069","Q5S007"
"34","Q99661","MOD_CK2_1","PF00069","Q9BWU1"
"35","Q96EB6","DOC_MAPK_gen_1","PF00069","Q5S007"
"36","Q96EB6","DOC_MAPK_gen_1","PF00069","Q9BWU1"
"37","Q96L73","DOC_MAPK_gen_1","PF00069","Q5S007"
"38","Q96L73","DOC_MAPK_gen_1","PF00069","Q9BWU1"
"39","P12270","MOD_CK2_1","PF00069","Q5S007"
"40","P12270","MOD_CK2_1","PF00069","Q9BWU1"
"41","Q96HS1","MOD_CK2_1","PF00069","Q5S007"
"42","Q96HS1","MOD_CK2_1","PF00069","Q9BWU1"
"43","P20700","DOC_MAPK_gen_1","PF00069","Q5S007"
"44","P20700","DOC_MAPK_gen_1","PF00069","Q9BWU1"
"45","Q9Y3C7","DOC_MAPK_gen_1","PF00069","Q5S007"
"46","Q9Y3C7","DOC_MAPK_gen_1","PF00069","Q9BWU1"
"47","Q15637","DOC_MAPK_gen_1","PF00069","Q5S007"
"48","Q15637","DOC_MAPK_gen_1","PF00069","Q9BWU1"
"49","Q96C86","DOC_MAPK_gen_1","PF00069","Q5S007"
"50","Q96C86","DOC_MAPK_gen_1","PF00069","Q9BWU1"
"51","O43148","DOC_MAPK_gen_1","PF00069","Q5S007"
"52","O43148","DOC_MAPK_gen_1","PF00069","Q9BWU1"
"53","Q14684","DOC_MAPK_gen_1","PF00069","Q5S007"
"54","Q14684","DOC_MAPK_gen_1","PF00069","Q9BWU1"
"55","P51531","DOC_MAPK_gen_1","PF00069","Q5S007"
"56","P51531","DOC_MAPK_gen_1","PF00069","Q9BWU1"
"57","O43513","DOC_MAPK_gen_1","PF00069","Q5S007"
"58","O43513","DOC_MAPK_gen_1","PF00069","Q9BWU1"
"59","Q96T49","DOC_MAPK_gen_1","PF00069","Q5S007"
"60","Q96T49","DOC_MAPK_gen_1","PF00069","Q9BWU1"
"61","P46695","DOC_MAPK_gen_1","PF00069","Q5S007"
"62","P46695","DOC_MAPK_gen_1","PF00069","Q9BWU1"
"63","P05412","DOC_MAPK_gen_1","PF00069","Q5S007"
"64","P05412","DOC_MAPK_gen_1","PF00069","Q9BWU1"
"65","Q6P2E9","MOD_CK2_1","PF00069","Q5S007"
"66","Q6P2E9","MOD_CK2_1","PF00069","Q9BWU1"
"67","Q15785","MOD_CK2_1","PF00069","Q5S007"
"68","Q15785","MOD_CK2_1","PF00069","Q9BWU1"
"69","O60231","MOD_CK2_1","PF00069","Q5S007"
"70","O60231","MOD_CK2_1","PF00069","Q9BWU1"
"71","P33992","MOD_CK2_1","PF00069","Q5S007"
"72","P33992","MOD_CK2_1","PF00069","Q9BWU1"
"73","P0DMV9","MOD_CK2_1","PF00069","Q5S007"
"74","P0DMV9","MOD_CK2_1","PF00069","Q9BWU1"
"75","P11940","MOD_CK2_1","PF00069","Q5S007"
"76","P11940","MOD_CK2_1","PF00069","Q9BWU1"
"77","P07910","MOD_CK2_1","PF00069","Q5S007"
"78","P07910","MOD_CK2_1","PF00069","Q9BWU1"
"79","P19338","MOD_CK2_1","PF00069","Q5S007"
"80","P19338","MOD_CK2_1","PF00069","Q9BWU1"
"81","P12956","MOD_CK2_1","PF00069","Q5S007"
"82","P12956","MOD_CK2_1","PF00069","Q9BWU1"
"83","Q9Y520","MOD_CK2_1","PF00069","Q5S007"
"84","Q9Y520","MOD_CK2_1","PF00069","Q9BWU1"
"85","Q04637","MOD_CK2_1","PF00069","Q5S007"
"86","Q04637","MOD_CK2_1","PF00069","Q9BWU1"
"87","P98179","MOD_CK2_1","PF00069","Q5S007"
"88","P98179","MOD_CK2_1","PF00069","Q9BWU1"
"89","P50402","MOD_CK2_1","PF00069","Q5S007"
"90","P50402","MOD_CK2_1","PF00069","Q9BWU1"
"91","Q9H583","MOD_CK2_1","PF00069","Q5S007"
"92","Q9H583","MOD_CK2_1","PF00069","Q9BWU1"
"93","Q9H0A0","MOD_CK2_1","PF00069","Q5S007"
"94","Q9H0A0","MOD_CK2_1","PF00069","Q9BWU1"
"95","Q9Y6B6","MOD_CK2_1","PF00069","Q5S007"
"96","Q9Y6B6","MOD_CK2_1","PF00069","Q9BWU1"
"97","Q9UBQ5","MOD_CK2_1","PF00069","Q5S007"
"98","Q9UBQ5","MOD_CK2_1","PF00069","Q9BWU1"
"99","O00459","MOD_CK2_1","PF00069","Q5S007"
"100","O00459","MOD_CK2_1","PF00069","Q9BWU1"
"101","P08779","MOD_CK2_1","PF00069","Q5S007"
"102","P08779","MOD_CK2_1","PF00069","Q9BWU1"
"103","Q99459","DOC_MAPK_gen_1","PF00069","Q5S007"
"104","Q99459","DOC_MAPK_gen_1","PF00069","Q9BWU1"
"105","Q8NI77","DOC_MAPK_gen_1","PF00069","Q5S007"
"106","Q8NI77","DOC_MAPK_gen_1","PF00069","Q9BWU1"
"107","P78424","DOC_MAPK_gen_1","PF00069","Q5S007"
"108","P78424","DOC_MAPK_gen_1","PF00069","Q9BWU1"
"109","P22102","MOD_CK2_1","PF00069","Q5S007"
"110","P22102","MOD_CK2_1","PF00069","Q9BWU1"
"111","P26373","MOD_CK2_1","PF00069","Q5S007"
"112","P26373","MOD_CK2_1","PF00069","Q9BWU1"
"113","P40926","MOD_CK2_1","PF00069","Q5S007"
"114","P40926","MOD_CK2_1","PF00069","Q9BWU1"
"115","P42566","MOD_CK2_1","PF00069","Q5S007"
"116","P42566","MOD_CK2_1","PF00069","Q9BWU1"
"117","P67870","MOD_CK2_1","PF00069","Q5S007"
"118","P67870","MOD_CK2_1","PF00069","Q9BWU1"
"119","P56192","MOD_CK2_1","PF00069","Q5S007"
"120","P56192","MOD_CK2_1","PF00069","Q9BWU1"
"121","Q5S007","DOC_MAPK_gen_1","PF00069","Q5S007"
"122","Q5S007","DOC_MAPK_gen_1","PF00069","Q9BWU1"
"123","E9PB61","MOD_CK2_1","PF00069","Q5S007"
"124","E9PB61","MOD_CK2_1","PF00069","Q9BWU1"
"125","P42166","MOD_CK2_1","PF00069","Q5S007"
"126","P42166","MOD_CK2_1","PF00069","Q9BWU1"
"127","O00233","MOD_CK2_1","PF00069","Q5S007"
"128","O00233","MOD_CK2_1","PF00069","Q9BWU1"
"129","O75179","MOD_CK2_1","PF00069","Q5S007"
"130","O75179","MOD_CK2_1","PF00069","Q9BWU1"
"131","P42677","MOD_CK2_1","PF00069","Q5S007"
"132","P42677","MOD_CK2_1","PF00069","Q9BWU1"
"133","O14744","MOD_CK2_1","PF00069","Q5S007"
"134","O14744","MOD_CK2_1","PF00069","Q9BWU1"
"135","Q5SSJ5","MOD_CK2_1","PF00069","Q5S007"
"136","Q5SSJ5","MOD_CK2_1","PF00069","Q9BWU1"
"137","P11387","MOD_CK2_1","PF00069","Q5S007"
"138","P11387","MOD_CK2_1","PF00069","Q9BWU1"
"139","Q5T4S7","MOD_CK2_1","PF00069","Q5S007"
"140","Q5T4S7","MOD_CK2_1","PF00069","Q9BWU1"
"141","Q08945","MOD_CK2_1","PF00069","Q5S007"
"142","Q08945","MOD_CK2_1","PF00069","Q9BWU1"
"143","Q9NVP1","MOD_CK2_1","PF00069","Q5S007"
"144","Q9NVP1","MOD_CK2_1","PF00069","Q9BWU1"
"145","Q15149","MOD_CK2_1","PF00069","Q5S007"
"146","Q15149","MOD_CK2_1","PF00069","Q9BWU1"
"147","P78545","DOC_MAPK_gen_1","PF00069","Q5S007"
"148","P78545","DOC_MAPK_gen_1","PF00069","Q9BWU1"
"149","O60927","DOC_MAPK_gen_1","PF00069","Q5S007"
"150","O60927","DOC_MAPK_gen_1","PF00069","Q9BWU1"
"151","O94763","DOC_MAPK_gen_1","PF00069","Q5S007"
"152","O94763","DOC_MAPK_gen_1","PF00069","Q9BWU1"
"153","Q16594","DOC_MAPK_gen_1","PF00069","Q5S007"
"154","Q16594","DOC_MAPK_gen_1","PF00069","Q9BWU1"
"155","Q9Y6I3","MOD_CK2_1","PF00069","Q5S007"
"156","Q9Y6I3","MOD_CK2_1","PF00069","Q9BWU1"
"157","P63104","MOD_CK2_1","PF00069","Q5S007"
"158","P63104","MOD_CK2_1","PF00069","Q9BWU1"
"159","O15357","MOD_CK2_1","PF00069","Q5S007"
"160","O15357","MOD_CK2_1","PF00069","Q9BWU1"
"161","Q12906","MOD_CK2_1","PF00069","Q5S007"
"162","Q12906","MOD_CK2_1","PF00069","Q9BWU1"
"163","P31946","MOD_CK2_1","PF00069","Q5S007"
"164","P31946","MOD_CK2_1","PF00069","Q9BWU1"
"165","P49736","MOD_CK2_1","PF00069","Q5S007"
"166","P49736","MOD_CK2_1","PF00069","Q9BWU1"
"167","P52292","MOD_CK2_1","PF00069","Q5S007"
"168","P52292","MOD_CK2_1","PF00069","Q9BWU1"
"169","P35580","MOD_CK2_1","PF00069","Q5S007"
"170","P35580","MOD_CK2_1","PF00069","Q9BWU1"
"171","P17096","MOD_CK2_1","PF00069","Q5S007"
"172","P17096","MOD_CK2_1","PF00069","Q9BWU1"
"173","P55196","MOD_CK2_1","PF00069","Q5S007"
"174","P55196","MOD_CK2_1","PF00069","Q9BWU1"
"175","O43242","MOD_CK2_1","PF00069","Q5S007"
"176","O43242","MOD_CK2_1","PF00069","Q9BWU1"
"177","Q15154","MOD_CK2_1","PF00069","Q5S007"
"178","Q15154","MOD_CK2_1","PF00069","Q9BWU1"
"179","P08559","MOD_CK2_1","PF00069","Q5S007"
"180","P08559","MOD_CK2_1","PF00069","Q9BWU1"
"181","Q8IWZ3","MOD_CK2_1","PF00069","Q5S007"
"182","Q8IWZ3","MOD_CK2_1","PF00069","Q9BWU1"
"183","Q13526","MOD_CK2_1","PF00069","Q5S007"
"184","Q13526","MOD_CK2_1","PF00069","Q9BWU1"
"185","Q99613","MOD_CK2_1","PF00069","Q5S007"
"186","Q99613","MOD_CK2_1","PF00069","Q9BWU1"
"187","Q7KZF4","MOD_CK2_1","PF00069","Q5S007"
"188","Q7KZF4","MOD_CK2_1","PF00069","Q9BWU1"
"189","O75643","MOD_CK2_1","PF00069","Q5S007"
"190","O75643","MOD_CK2_1","PF00069","Q9BWU1"
"191","Q15102","MOD_CK2_1","PF00069","Q5S007"
