"","mProtein","Motif","Domain","dProtein"
"1","Q14687","LIG_PROFILIN_1","","O95816"
"2","Q14687","LIG_PROFILIN_1","","P62805"
"3","Q14687","LIG_PROFILIN_1","","Q9UL40"
"4","Q14687","LIG_PROFILIN_1","","Q70UQ0"
"5","Q14687","LIG_PROFILIN_1","","Q8NHQ1"
"6","Q13671","LIG_PROFILIN_1","","O95816"
"7","Q13671","LIG_PROFILIN_1","","P62805"
"8","Q13671","LIG_PROFILIN_1","","Q9UL40"
"9","Q13671","LIG_PROFILIN_1","","Q70UQ0"
"10","Q13671","LIG_PROFILIN_1","","Q8NHQ1"
"11","O60341","LIG_PROFILIN_1","","O95816"
"12","O60341","LIG_PROFILIN_1","","P62805"
"13","O60341","LIG_PROFILIN_1","","Q9UL40"
"14","O60341","LIG_PROFILIN_1","","Q70UQ0"
"15","O60341","LIG_PROFILIN_1","","Q8NHQ1"
"16","P30911","LIG_PROFILIN_1","","O95816"
"17","P30911","LIG_PROFILIN_1","","P62805"
"18","P30911","LIG_PROFILIN_1","","Q9UL40"
"19","P30911","LIG_PROFILIN_1","","Q70UQ0"
"20","P30911","LIG_PROFILIN_1","","Q8NHQ1"
"21","P14598","LIG_PROFILIN_1","","O95816"
"22","P14598","LIG_PROFILIN_1","","P62805"
"23","P14598","LIG_PROFILIN_1","","Q9UL40"
"24","P14598","LIG_PROFILIN_1","","Q70UQ0"
"25","P14598","LIG_PROFILIN_1","","Q8NHQ1"
"26","Q7L5A3","LIG_PROFILIN_1","","O95816"
"27","Q7L5A3","LIG_PROFILIN_1","","P62805"
"28","Q7L5A3","LIG_PROFILIN_1","","Q9UL40"
"29","Q7L5A3","LIG_PROFILIN_1","","Q70UQ0"
"30","Q7L5A3","LIG_PROFILIN_1","","Q8NHQ1"
"31","Q8IX06","LIG_PROFILIN_1","","O95816"
"32","Q8IX06","LIG_PROFILIN_1","","P62805"
"33","Q8IX06","LIG_PROFILIN_1","","Q9UL40"
"34","Q8IX06","LIG_PROFILIN_1","","Q70UQ0"
"35","Q8IX06","LIG_PROFILIN_1","","Q8NHQ1"
"36","Q9C0D5","LIG_PROFILIN_1","","O95816"
"37","Q9C0D5","LIG_PROFILIN_1","","P62805"
"38","Q9C0D5","LIG_PROFILIN_1","","Q9UL40"
"39","Q9C0D5","LIG_PROFILIN_1","","Q70UQ0"
"40","Q9C0D5","LIG_PROFILIN_1","","Q8NHQ1"
"41","Q15427","LIG_PROFILIN_1","","O95816"
"42","Q15427","LIG_PROFILIN_1","","P62805"
"43","Q15427","LIG_PROFILIN_1","","Q9UL40"
"44","Q15427","LIG_PROFILIN_1","","Q70UQ0"
"45","Q15427","LIG_PROFILIN_1","","Q8NHQ1"
"46","Q13064","LIG_PROFILIN_1","","O95816"
