"","mProtein","Motif","Domain","dProtein"
"1","A0A0C4DFT7","DEG_Kelch_Keap1_1","PF01344","Q14145"
"2","A1A5B4","LIG_PDZ_Class_1","PF00595","Q12959"
"3","A6NIX2","LIG_PDZ_Class_1","PF00595","Q14160"
"4","B8Q183","DEG_Kelch_Keap1_1","PF01344","Q14145"
"5","O00444","DEG_SCF_TRCP1_1","PF00400","Q9Y297"
"6","O14920","DEG_Kelch_Keap1_1","PF01344","Q14145"
"7","O15169","DEG_SCF_TRCP1_1","PF00400","Q9Y297"
"8","O15427","LIG_PDZ_Class_1","PF00595","Q12959"
"9","O43148","TRG_NLS_MonoCore_2","PF00514","O60684"
"10","O43148","TRG_NLS_MonoExtN_4","PF00514","O60684"
"11","O43148","TRG_NLS_MonoExtC_3","PF00514","O60684"
"12","O43513","DOC_MAPK_gen_1","PF00069","Q9BWU1"
"13","O60447","LIG_PDZ_Class_1","PF00595","Q12959"
"14","O75410","DEG_SCF_TRCP1_1","PF00400","Q9Y297"
"15","O75586","DOC_MAPK_gen_1","PF00069","Q9BWU1"
"16","P02452","DEG_Kelch_Keap1_1","PF01344","Q14145"
"17","P02545","TRG_NLS_MonoExtC_3","PF00514","O60684"
"18","P02545","TRG_NLS_MonoExtC_3","PF00514","P52292"
"19","P02724","DEG_Kelch_Keap1_1","PF01344","Q14145"
"20","P07550","LIG_PDZ_Class_1","PF00595","O14745"
"21","P09619","LIG_PDZ_Class_1","PF00595","O14745"
"22","P0C2L3","LIG_PDZ_Class_1","PF00595","Q12959"
"23","P0C2L3","LIG_PDZ_Class_1","PF00595","Q14160"
"24","P10070","DEG_SCF_TRCP1_1","PF00400","Q9Y297"
"25","P13569","LIG_PDZ_Class_1","PF00595","O14745"
"26","P13569","LIG_PDZ_Class_1","PF00595","Q15599"
"27","P17643","LIG_PDZ_Class_1","PF00595","O14908"
"28","P18848","DEG_SCF_TRCP1_1","PF00400","Q9Y297"
"29","P19320","LIG_PDZ_Class_1","PF00595","Q14160"
"30","P19838","DEG_SCF_TRCP1_1","PF00400","Q9Y297"
"31","P20020","LIG_PDZ_Class_1","PF00595","Q14160"
"32","P20700","TRG_NLS_MonoCore_2","PF00514","O60684"
"33","P20700","TRG_NLS_MonoExtN_4","PF00514","O60684"
"34","P20700","TRG_NLS_MonoExtC_3","PF00514","O60684"
"35","P22001","LIG_PDZ_Class_1","PF00595","Q12959"
"36","P22460","LIG_PDZ_Class_1","PF00595","Q14160"
"37","P23508","LIG_PDZ_Class_1","PF00595","Q14160"
"38","P25054","LIG_PDZ_Class_1","PF00595","Q14160"
"39","P25100","LIG_PDZ_Class_1","PF00595","Q14160"
"40","P30304","DEG_SCF_TRCP1_1","PF00400","Q9Y297"
"41","P33402","LIG_PDZ_Class_1","PF00595","Q12959"
"42","P33402","LIG_PDZ_Class_1","PF00595","Q14160"
"43","P34998","LIG_PDZ_Class_1","PF00595","Q12959"
"44","P34998","LIG_PDZ_Class_1","PF00595","Q14160"
"45","P35222","LIG_PDZ_Class_1","PF00595","Q14160"
"46","P35222","DEG_SCF_TRCP1_1","PF00400","Q9Y297"
"47","P35579","MOD_CK2_1","PF00069","Q5S007"
"48","P35580","MOD_CK2_1","PF00069","Q5S007"
"49","P36507","LIG_PDZ_Class_1","PF00595","Q12959"
"50","P38432","TRG_ER_diArg_1","PF00400","Q9BUR4"
"51","P46087","TRG_NLS_MonoExtN_4","PF00514","O60684"
