"","mProtein","Motif","Domain","dProtein"
"1","O15151","LIG_14-3-3_CanoR_1","PF00244","P63104"
"2","O15350","DEG_MDM2_SWIB_1","PF02201","Q00987"
"3","O43516","LIG_WH1","PF00568","Q9NSC5"
"4","O43516","LIG_EVH1_3","PF00568","Q9NSC5"
"5","O75928","LIG_SUMO_SIM_par_1","PF11976","P63165"
"6","P00533","LIG_PTB_Phospho_1","PF02174","O14654"
"7","P01106","MOD_GSK3_1","PF00069","O15111"
"8","P01106","MOD_ProDKin_1","PF00069","O15111"
"9","P02751","LIG_Integrin_isoDGR_1","PF00362","P05556"
"10","P02751","LIG_RGD","PF00362","P05556"
"11","P03070","TRG_NLS_MonoCore_2","PF00514","O00629"
"12","P03070","TRG_NLS_MonoExtN_4","PF00514","O00629"
"13","P03070","TRG_NLS_MonoExtC_3","PF00514","O00629"
"14","P03070","TRG_NLS_MonoExtN_4","PF00514","O60684"
"15","P03070","TRG_NLS_MonoExtC_3","PF00514","O60684"
"16","P03070","TRG_NLS_MonoCore_2","PF00514","O60684"
"17","P03070","TRG_NLS_MonoCore_2","PF00514","P52292"
"18","P03070","TRG_NLS_MonoExtN_4","PF00514","P52292"
"19","P03070","TRG_NLS_MonoExtC_3","PF00514","P52292"
"20","P03070","TRG_NLS_MonoCore_2","PF00514","P52294"
"21","P03070","TRG_NLS_MonoExtN_4","PF00514","P52294"
"22","P03070","TRG_NLS_MonoExtC_3","PF00514","P52294"
"23","P03070","DEG_SCF_FBW7_2","PF00400","Q9UKB1"
"24","P03070","DEG_SCF_FBW7_2","PF00400","Q9Y297"
"25","P03126","LIG_PDZ_Class_1","PF00595","P26045"
"26","P03126","LIG_PDZ_Class_1","PF00595","Q12959"
"27","P03126","LIG_PDZ_Class_1","PF00595","Q14160"
"28","P03428","TRG_NLS_Bipartite_1","PF00514","O00629"
"29","P05412","DEG_COP1_1","PF00400","Q9ULV4"
"30","P05412","DEG_SCF_FBW7_1","PF00400","Q9ULV4"
"31","P06463","LIG_PDZ_Class_1","PF00595","P26045"
"32","P06463","LIG_PDZ_Class_1","PF00595","Q12959"
"33","P06463","LIG_PDZ_Class_1","PF00595","Q14160"
"34","P11717","TRG_LysEnd_GGAAcLL_1","PF00790","Q9UJY5"
"35","P12931","LIG_SH2_SRC","PF00017","Q92569"
"36","P13569","LIG_14-3-3_CanoR_1","PF00244","P31946"
"37","P13569","LIG_14-3-3_CanoR_1","PF00244","P63104"
"38","P13569","LIG_PDZ_Class_1","PF00595","Q9NR12"
"39","P13569","LIG_PDZ_Class_1","PF00595","Q9UDY2"
"40","P15336","DOC_MAPK_JIP1_4","PF00069","Q99986"
"41","P17181","DEG_SCF_TRCP1_1","PF00400","Q9UKB1"
"42","P18848","DEG_SCF_TRCP1_1","PF00400","Q9Y297"
"43","P19838","TRG_NLS_MonoExtN_4","PF00514","P35222"
"44","P19838","TRG_NLS_MonoExtC_3","PF00514","P35222"
"45","P19838","DEG_SCF_TRCP1_1","PF00400","P35606"
"46","P19838","DEG_SCF_TRCP1_1","PF00400","Q9UKB1"
"47","P19838","DEG_SCF_TRCP1_1","PF00400","Q9Y297"
"48","P23497","LIG_SUMO_SIM_anti_2","PF11976","P63165"
"49","P23497","LIG_SUMO_SIM_par_1","PF11976","P63165"
"50","P25054","TRG_NLS_MonoExtN_4","PF00514","P35222"
"51","P25054","TRG_NLS_MonoCore_2","PF00514","P35222"
"52","P25054","TRG_NLS_MonoExtC_3","PF00514","P35222"
"53","P29590","LIG_SUMO_SIM_par_1","PF11976","P63165"
"54","P29590","LIG_SUMO_SIM_anti_2","PF11976","P63165"
"55","P29590","MOD_SUMO_for_1","PF00179","P63279"
"56","P35222","LIG_PDZ_Class_1","PF00595","Q14160"
"57","P35222","DEG_SCF_TRCP1_1","PF00400","Q9UKB1"
"58","P35222","DEG_SCF_TRCP1_1","PF00400","Q9Y297"
"59","P46527","MOD_CDK_SPxK_1","PF00069","O15111"
"60","P46527","MOD_PKB_1","PF00069","O15111"
"61","P46937","LIG_PDZ_Class_1","PF00595","Q14160"
"62","P48050","LIG_PDZ_Class_1","PF00595","Q14160"
"63","P50542","LIG_Pex14_1","PF04695","O75381"
"64","P50542","LIG_Pex14_3","PF04695","O75381"
"65","P50616","LIG_PAM2_1","PF00658","P11940"
"66","P56524","MOD_SUMO_for_1","PF00179","P63279"
"67","P78317","LIG_SUMO_SIM_par_1","PF11976","P63165"
"68","P78317","LIG_SUMO_SIM_anti_2","PF11976","P63165"
"69","P89079","LIG_PDZ_Class_1","PF00595","Q12959"
