"","mProtein","Motif","Domain","dProtein"
"1","A1A5B4","LIG_PDZ_Class_1","PF00595","Q12959"
"2","A6NIX2","LIG_PDZ_Class_1","PF00595","Q14160"
"3","D1LN35","LIG_ULM_U2AF65_1","PF00076","P31943"
"4","D4N3L3","LIG_PDZ_Class_1","PF00595","Q12959"
"5","E5LBT9","TRG_NLS_MonoExtN_4","PF00514","O60684"
"6","E5LBT9","TRG_NLS_MonoExtC_3","PF00514","O60684"
"7","E5LBT9","TRG_NLS_MonoCore_2","PF00514","O60684"
"8","E5LBT9","TRG_NLS_MonoExtN_4","PF00514","P52294"
"9","E5LBT9","TRG_NLS_MonoExtC_3","PF00514","P52294"
"10","E5LBT9","TRG_NLS_MonoCore_2","PF00514","P52294"
"11","F5HE15","TRG_NLS_MonoCore_2","PF00514","O60684"
"12","F5HE15","TRG_NLS_MonoExtN_4","PF00514","O60684"
"13","F5HE15","TRG_NLS_MonoExtC_3","PF00514","O60684"
"14","F5HE15","TRG_NLS_MonoExtC_3","PF00514","P52294"
"15","F5HE15","TRG_NLS_MonoCore_2","PF00514","P52294"
"16","F5HE15","TRG_NLS_MonoExtN_4","PF00514","P52294"
"17","O00294","LIG_SH3_3","PF00018","P16333"
"18","O00294","LIG_SH3_1","PF00018","P16333"
"19","O00294","LIG_SH3_2","PF14604","P16333"
"20","O00294","LIG_SH3_2","PF00018","P16333"
"21","O00401","LIG_SH3_3","PF00018","P16333"
"22","O00401","LIG_SH3_2","PF00018","P16333"
"23","O00401","LIG_SH3_1","PF00018","P16333"
"24","O00401","LIG_SH3_2","PF14604","P16333"
"25","O00444","DEG_SCF_TRCP1_1","PF00400","Q9Y297"
"26","O00750","LIG_SH3_2","PF00018","P16333"
"27","O00750","LIG_SH3_2","PF14604","P16333"
"28","O14503","LIG_ULM_U2AF65_1","PF00076","Q86U06"
"29","O14893","TRG_NLS_MonoCore_2","PF00514","O60684"
"30","O14893","TRG_NLS_MonoExtC_3","PF00514","O60684"
"31","O14893","TRG_NLS_MonoExtN_4","PF00514","O60684"
"32","O15056","LIG_SH3_2","PF14604","P16333"
"33","O15056","LIG_SH3_2","PF00018","P16333"
"34","O15117","LIG_SH3_3","PF00018","P16333"
"35","O15117","LIG_SH3_2","PF00018","P16333"
"36","O15117","LIG_SH3_1","PF00018","P16333"
"37","O15117","LIG_SH3_2","PF14604","P16333"
"38","O15169","DEG_SCF_TRCP1_1","PF00400","Q9UKB1"
"39","O15169","DEG_SCF_FBW7_2","PF00400","Q9UKB1"
"40","O15169","DEG_SCF_TRCP1_1","PF00400","Q9Y297"
"41","O15169","DEG_SCF_FBW7_2","PF00400","Q9Y297"
"42","O15409","LIG_CtBP_PxDLS_1","PF00389","P56545"
"43","O15427","LIG_PDZ_Class_3","PF00595","Q12959"
"44","O15427","LIG_PDZ_Class_1","PF00595","Q12959"
"45","O43148","TRG_NLS_MonoExtN_4","PF00514","O60684"
"46","O43148","TRG_NLS_MonoExtC_3","PF00514","O60684"
"47","O43148","TRG_NLS_MonoCore_2","PF00514","O60684"
"48","O43148","TRG_NLS_MonoExtC_3","PF00514","P52292"
"49","O43148","TRG_NLS_MonoExtN_4","PF00514","P52292"
"50","O43148","TRG_NLS_MonoCore_2","PF00514","P52292"
"51","O43189","LIG_ULM_U2AF65_1","PF00076","Q93062"
"52","O43390","LIG_SH3_1","PF00018","P16333"
"53","O43390","LIG_SH3_2","PF00018","P16333"
"54","O43390","LIG_SH3_2","PF14604","P16333"
"55","O43390","LIG_SH3_3","PF00018","P16333"
"56","O43493","LIG_SH3_2","PF00018","P16333"
"57","O43493","LIG_SH3_3","PF00018","P16333"
"58","O43493","LIG_SH3_1","PF00018","P16333"
"59","O43493","LIG_SH3_2","PF14604","P16333"
"60","O43708","LIG_SH3_3","PF00018","P16333"
"61","O43708","LIG_SH3_1","PF00018","P16333"
"62","O43708","LIG_SH3_2","PF14604","P16333"
"63","O43708","LIG_SH3_2","PF00018","P16333"
"64","O43918","LIG_SH3_2","PF00018","P16333"
"65","O43918","LIG_SH3_2","PF14604","P16333"
"66","O60447","LIG_PDZ_Class_1","PF00595","Q12959"
"67","O60885","LIG_SH3_1","PF00018","P16333"
"68","O60885","LIG_SH3_2","PF14604","P16333"
"69","O60885","LIG_SH3_2","PF00018","P16333"
"70","O60885","LIG_SH3_3","PF00018","P16333"
"71","O60934","MOD_PKA_1","PF00069","Q99986"
"72","O60934","DOC_MAPK_gen_1","PF00069","Q99986"
"73","O75326","LIG_SH3_3","PF00018","P16333"
"74","O75326","LIG_SH3_2","PF14604","P16333"
"75","O75326","LIG_SH3_2","PF00018","P16333"
"76","O75326","LIG_SH3_1","PF00018","P16333"
"77","O75369","LIG_SH3_3","PF00018","P16333"
"78","O75369","LIG_SH3_1","PF00018","P16333"
"79","O75369","LIG_SH3_2","PF00018","P16333"
"80","O75369","LIG_SH3_2","PF14604","P16333"
"81","O75410","DEG_SCF_TRCP1_1","PF00400","Q9Y297"
"82","O75593","LIG_SH3_2","PF00018","P16333"
"83","O75593","LIG_SH3_2","PF14604","P16333"
"84","O75593","LIG_SH3_3","PF00018","P16333"
"85","O75593","LIG_SH3_1","PF00018","P16333"
"86","O75603","LIG_ULM_U2AF65_1","PF00076","Q93062"
"87","O75807","LIG_CtBP_PxDLS_1","PF00389","P56545"
"88","O92837","TRG_NLS_MonoExtC_3","PF00514","P52292"
"89","O92837","TRG_NLS_MonoExtN_4","PF00514","P52292"
"90","O92837","TRG_NLS_MonoCore_2","PF00514","P52292"
"91","O95872","LIG_ULM_U2AF65_1","PF00076","P31943"
"92","O95947","LIG_ULM_U2AF65_1","PF00076","Q93062"
"93","O96017","TRG_NLS_MonoCore_2","PF00514","P52292"
"94","O96017","TRG_NLS_MonoExtN_4","PF00514","P52292"
"95","O96017","TRG_NLS_MonoExtC_3","PF00514","P52292"
"96","P00519","LIG_SH3_2","PF14604","P16333"
"97","P00519","LIG_SH3_2","PF00018","P16333"
"98","P01106","DOC_MAPK_gen_1","PF00069","O15111"
"99","P01106","MOD_PKA_1","PF00069","O15111"
"100","P01344","LIG_ULM_U2AF65_1","PF00076","Q93062"
"101","P02545","TRG_NLS_MonoExtN_4","PF00514","O00629"
"102","P02545","TRG_NLS_MonoCore_2","PF00514","O00629"
"103","P02545","TRG_NLS_MonoExtC_3","PF00514","O00629"
"104","P02545","TRG_NLS_MonoExtC_3","PF00514","O60684"
"105","P02545","TRG_NLS_MonoCore_2","PF00514","O60684"
"106","P02545","TRG_NLS_MonoExtN_4","PF00514","O60684"
"107","P02545","TRG_NLS_MonoCore_2","PF00514","P52292"
"108","P02545","TRG_NLS_MonoExtC_3","PF00514","P52292"
"109","P02545","TRG_NLS_MonoExtN_4","PF00514","P52292"
"110","P02545","TRG_NLS_MonoCore_2","PF00514","P52294"
"111","P02545","TRG_NLS_MonoExtN_4","PF00514","P52294"
"112","P02545","TRG_NLS_MonoExtC_3","PF00514","P52294"
"113","P03070","TRG_NLS_MonoCore_2","PF00514","O00629"
"114","P03070","TRG_NLS_MonoExtN_4","PF00514","O00629"
"115","P03070","TRG_NLS_MonoExtC_3","PF00514","O00629"
"116","P03070","TRG_NLS_MonoExtC_3","PF00514","O60684"
"117","P03070","TRG_NLS_MonoCore_2","PF00514","O60684"
"118","P03070","TRG_NLS_MonoExtN_4","PF00514","O60684"
"119","P03070","TRG_NLS_MonoExtC_3","PF00514","P52292"
"120","P03070","TRG_NLS_MonoCore_2","PF00514","P52292"
"121","P03070","TRG_NLS_MonoExtN_4","PF00514","P52292"
"122","P03070","TRG_NLS_MonoExtN_4","PF00514","P52294"
"123","P03070","TRG_NLS_MonoCore_2","PF00514","P52294"
"124","P03070","TRG_NLS_MonoExtC_3","PF00514","P52294"
"125","P03070","DEG_SCF_TRCP1_1","PF00400","Q9Y297"
"126","P03070","TRG_ER_diArg_1","PF00400","Q9Y297"
"127","P03101","TRG_NLS_MonoExtN_4","PF00514","P52292"
"128","P03101","TRG_NLS_MonoCore_2","PF00514","P52292"
"129","P03101","TRG_NLS_MonoExtC_3","PF00514","P52292"
"130","P03126","LIG_PDZ_Class_1","PF00595","P26045"
"131","P03126","LIG_PDZ_Class_1","PF00595","Q12959"
"132","P03126","LIG_PDZ_Class_1","PF00595","Q14160"
"133","P03255","LIG_CtBP_PxDLS_1","PF00389","P56545"
"134","P03372","TRG_NLS_MonoExtC_3","PF00514","P52294"
"135","P03372","TRG_NLS_MonoExtN_4","PF00514","P52294"
"136","P03372","TRG_NLS_MonoCore_2","PF00514","P52294"
"137","P03372","LIG_PDZ_Class_1","PF00595","Q12959"
"138","P03372","LIG_ULM_U2AF65_1","PF00076","Q86U06"
"139","P03428","LIG_ULM_U2AF65_1","PF00076","Q93062"
"140","P03431","LIG_ULM_U2AF65_1","PF00076","Q93062"
"141","P03496","LIG_PDZ_Class_1","PF00595","O14908"
"142","P04012","TRG_NLS_MonoExtC_3","PF00514","P52292"
"143","P04012","TRG_NLS_MonoCore_2","PF00514","P52292"
"144","P04012","TRG_NLS_MonoExtN_4","PF00514","P52292"
"145","P04299","LIG_PDZ_Class_1","PF00595","Q14160"
"146","P05412","LIG_ULM_U2AF65_1","PF00076","P26599"
"147","P05412","LIG_ULM_U2AF65_1","PF00076","P31943"
"148","P05919","DEG_SCF_TRCP1_1","PF00400","Q9UKB1"
"149","P05919","DEG_SCF_TRCP1_1","PF00400","Q9Y297"
"150","P06427","LIG_PDZ_Class_1","PF00595","Q12959"
