"","mProtein","Motif","Domain","dProtein"
"1","P01106","LIG_SH3_2","PF00018","O94875"
"2","P10636","LIG_SH3_1","PF00018","O94875"
"3","Q9NRI5","DOC_ANK_TNKS_1","PF00023","Q8NI38"
"4","P56524","LIG_ANK_PxLPxL_1","PF00023","Q8NI38"
"5","O43815","DOC_ANK_TNKS_1","PF00023","Q8NI38"
"6","Q9UQL6","LIG_ANK_PxLPxL_1","PF00023","Q8NI38"
"7","O15169","DOC_ANK_TNKS_1","PF00023","Q8NI38"
"8","P09067","LIG_HOMEOBOX","PF00046","Q9UBX2"
"9","P09067","LIG_HOMEOBOX","PF00046","P49639"
"10","P09067","LIG_HOMEOBOX","PF00046","Q68G74"
"11","P09067","LIG_HOMEOBOX","PF00046","Q00444"
"12","P49639","LIG_HOMEOBOX","PF00046","Q9UBX2"
"13","P49639","LIG_HOMEOBOX","PF00046","P49639"
"14","P49639","LIG_HOMEOBOX","PF00046","Q68G74"
"15","P49639","LIG_HOMEOBOX","PF00046","Q00444"
"16","Q15256","DOC_MAPK_HePTP_8","PF00069","Q9Y572"
"17","Q15256","DOC_MAPK_HePTP_8","PF00069","Q5S007"
"18","Q15256","DOC_MAPK_HePTP_8","PF00069","Q07002"
"19","Q15256","DOC_MAPK_HePTP_8","PF00069","Q13188"
"20","Q15256","DOC_MAPK_HePTP_8","PF00069","P31749"
"21","Q15256","DOC_MAPK_HePTP_8","PF00069","Q16512"
"22","Q15256","DOC_MAPK_HePTP_8","PF00069","Q9BWU1"
"23","Q15256","DOC_MAPK_HePTP_8","PF00069","Q9P286"
"24","P30304","MOD_CDK_SPxxK_3","PF00069","Q9Y572"
"25","P30304","MOD_CDK_SPxxK_3","PF00069","Q5S007"
"26","P30304","MOD_CDK_SPxxK_3","PF00069","Q07002"
"27","P30304","MOD_CDK_SPxxK_3","PF00069","Q13188"
"28","P30304","MOD_CDK_SPxxK_3","PF00069","P31749"
"29","P30304","MOD_CDK_SPxxK_3","PF00069","Q16512"
"30","P30304","MOD_CDK_SPxxK_3","PF00069","Q9BWU1"
"31","P30304","MOD_CDK_SPxxK_3","PF00069","Q9P286"
"32","Q05513","DOC_AGCK_PIF_2","PF00069","Q9Y572"
"33","Q05513","DOC_AGCK_PIF_2","PF00069","Q5S007"
"34","Q05513","DOC_AGCK_PIF_2","PF00069","Q07002"
"35","Q05513","DOC_AGCK_PIF_2","PF00069","Q13188"
"36","Q05513","DOC_AGCK_PIF_2","PF00069","P31749"
"37","Q05513","DOC_AGCK_PIF_2","PF00069","Q16512"
"38","Q05513","DOC_AGCK_PIF_2","PF00069","Q9BWU1"
"39","Q05513","DOC_AGCK_PIF_2","PF00069","Q9P286"
"40","P05412","DOC_MAPK_gen_1","PF00069","Q9Y572"
"41","P05412","DOC_MAPK_gen_1","PF00069","Q5S007"
"42","P05412","DOC_MAPK_gen_1","PF00069","Q07002"
"43","P05412","DOC_MAPK_gen_1","PF00069","Q13188"
"44","P05412","DOC_MAPK_gen_1","PF00069","P31749"
"45","P05412","DOC_MAPK_gen_1","PF00069","Q16512"
"46","P05412","DOC_MAPK_gen_1","PF00069","Q9BWU1"
"47","P05412","DOC_MAPK_gen_1","PF00069","Q9P286"
"48","P04637","MOD_CDK_SPxxK_3","PF00069","Q9Y572"
"49","P04637","MOD_CDK_SPxxK_3","PF00069","Q5S007"
"50","P04637","MOD_CDK_SPxxK_3","PF00069","Q07002"
"51","P04637","MOD_CDK_SPxxK_3","PF00069","Q13188"
"52","P04637","MOD_CDK_SPxxK_3","PF00069","P31749"
"53","P04637","MOD_CDK_SPxxK_3","PF00069","Q16512"
"54","P04637","MOD_CDK_SPxxK_3","PF00069","Q9BWU1"
"55","P04637","MOD_CDK_SPxxK_3","PF00069","Q9P286"
"56","Q9GZV5","MOD_LATS_1","PF00069","Q9Y572"
"57","Q9GZV5","MOD_LATS_1","PF00069","Q5S007"
"58","Q9GZV5","MOD_LATS_1","PF00069","Q07002"
"59","Q9GZV5","MOD_LATS_1","PF00069","Q13188"
"60","Q9GZV5","MOD_LATS_1","PF00069","P31749"
"61","Q9GZV5","MOD_LATS_1","PF00069","Q16512"
"62","Q9GZV5","MOD_LATS_1","PF00069","Q9BWU1"
"63","Q9GZV5","MOD_LATS_1","PF00069","Q9P286"
"64","Q5JR12","DOC_MAPK_JIP1_4","PF00069","Q9Y572"
"65","Q5JR12","DOC_MAPK_JIP1_4","PF00069","Q5S007"
"66","Q5JR12","DOC_MAPK_JIP1_4","PF00069","Q07002"
"67","Q5JR12","DOC_MAPK_JIP1_4","PF00069","Q13188"
"68","Q5JR12","DOC_MAPK_JIP1_4","PF00069","P31749"
"69","Q5JR12","DOC_MAPK_JIP1_4","PF00069","Q16512"
"70","Q5JR12","DOC_MAPK_JIP1_4","PF00069","Q9BWU1"
"71","Q5JR12","DOC_MAPK_JIP1_4","PF00069","Q9P286"
"72","P01100","DOC_MAPK_FxFP_2","PF00069","Q9Y572"
"73","P01100","DOC_MAPK_FxFP_2","PF00069","Q5S007"
"74","P01100","DOC_MAPK_FxFP_2","PF00069","Q07002"
"75","P01100","DOC_MAPK_FxFP_2","PF00069","Q13188"
"76","P01100","DOC_MAPK_FxFP_2","PF00069","P31749"
"77","P01100","DOC_MAPK_FxFP_2","PF00069","Q16512"
"78","P01100","DOC_MAPK_FxFP_2","PF00069","Q9BWU1"
"79","P01100","DOC_MAPK_FxFP_2","PF00069","Q9P286"
"80","Q63HK5","DOC_MAPK_NFAT4_5","PF00069","Q9Y572"
"81","Q63HK5","DOC_MAPK_NFAT4_5","PF00069","Q5S007"
"82","Q63HK5","DOC_MAPK_NFAT4_5","PF00069","Q07002"
"83","Q63HK5","DOC_MAPK_NFAT4_5","PF00069","Q13188"
"84","Q63HK5","DOC_MAPK_NFAT4_5","PF00069","P31749"
"85","Q63HK5","DOC_MAPK_NFAT4_5","PF00069","Q16512"
"86","Q63HK5","DOC_MAPK_NFAT4_5","PF00069","Q9BWU1"
"87","Q63HK5","DOC_MAPK_NFAT4_5","PF00069","Q9P286"
"88","Q63HK5","DOC_MAPK_MEF2A_6","PF00069","Q9Y572"
"89","Q63HK5","DOC_MAPK_MEF2A_6","PF00069","Q5S007"
"90","Q63HK5","DOC_MAPK_MEF2A_6","PF00069","Q07002"
"91","Q63HK5","DOC_MAPK_MEF2A_6","PF00069","Q13188"
"92","Q63HK5","DOC_MAPK_MEF2A_6","PF00069","P31749"
"93","Q63HK5","DOC_MAPK_MEF2A_6","PF00069","Q16512"
"94","Q63HK5","DOC_MAPK_MEF2A_6","PF00069","Q9BWU1"
"95","Q63HK5","DOC_MAPK_MEF2A_6","PF00069","Q9P286"
"96","O15169","DOC_GSK3_Axin_1","PF00069","Q9Y572"
"97","O15169","DOC_GSK3_Axin_1","PF00069","Q5S007"
"98","O15169","DOC_GSK3_Axin_1","PF00069","Q07002"
"99","O15169","DOC_GSK3_Axin_1","PF00069","Q13188"
"100","O15169","DOC_GSK3_Axin_1","PF00069","P31749"
"101","O15169","DOC_GSK3_Axin_1","PF00069","Q16512"
"102","O15169","DOC_GSK3_Axin_1","PF00069","Q9BWU1"
"103","O15169","DOC_GSK3_Axin_1","PF00069","Q9P286"
"104","Q96N67","DOC_MAPK_JIP1_4","PF00069","Q9Y572"
"105","Q96N67","DOC_MAPK_JIP1_4","PF00069","Q5S007"
"106","Q96N67","DOC_MAPK_JIP1_4","PF00069","Q07002"
"107","Q96N67","DOC_MAPK_JIP1_4","PF00069","Q13188"
"108","Q96N67","DOC_MAPK_JIP1_4","PF00069","P31749"
"109","Q96N67","DOC_MAPK_JIP1_4","PF00069","Q16512"
"110","Q96N67","DOC_MAPK_JIP1_4","PF00069","Q9BWU1"
"111","Q96N67","DOC_MAPK_JIP1_4","PF00069","Q9P286"
"112","P25054","MOD_CDK_SPxK_1","PF00069","Q9Y572"
"113","P25054","MOD_CDK_SPxK_1","PF00069","Q5S007"
"114","P25054","MOD_CDK_SPxK_1","PF00069","Q07002"
"115","P25054","MOD_CDK_SPxK_1","PF00069","Q13188"
"116","P25054","MOD_CDK_SPxK_1","PF00069","P31749"
"117","P25054","MOD_CDK_SPxK_1","PF00069","Q16512"
"118","P25054","MOD_CDK_SPxK_1","PF00069","Q9BWU1"
"119","P25054","MOD_CDK_SPxK_1","PF00069","Q9P286"
"120","Q13464","DOC_AGCK_PIF_1","PF00069","Q9Y572"
"121","Q13464","DOC_AGCK_PIF_1","PF00069","Q5S007"
"122","Q13464","DOC_AGCK_PIF_1","PF00069","Q07002"
"123","Q13464","DOC_AGCK_PIF_1","PF00069","Q13188"
"124","Q13464","DOC_AGCK_PIF_1","PF00069","P31749"
"125","Q13464","DOC_AGCK_PIF_1","PF00069","Q16512"
"126","Q13464","DOC_AGCK_PIF_1","PF00069","Q9BWU1"
"127","Q13464","DOC_AGCK_PIF_1","PF00069","Q9P286"
"128","P41743","DOC_AGCK_PIF_2","PF00069","Q9Y572"
"129","P41743","DOC_AGCK_PIF_2","PF00069","Q5S007"
"130","P41743","DOC_AGCK_PIF_2","PF00069","Q07002"
"131","P41743","DOC_AGCK_PIF_2","PF00069","Q13188"
"132","P41743","DOC_AGCK_PIF_2","PF00069","P31749"
"133","P41743","DOC_AGCK_PIF_2","PF00069","Q16512"
"134","P41743","DOC_AGCK_PIF_2","PF00069","Q9BWU1"
"135","P41743","DOC_AGCK_PIF_2","PF00069","Q9P286"
"136","Q8WWK9","MOD_CDK_SPxxK_3","PF00069","Q9Y572"
"137","Q8WWK9","MOD_CDK_SPxxK_3","PF00069","Q5S007"
"138","Q8WWK9","MOD_CDK_SPxxK_3","PF00069","Q07002"
"139","Q8WWK9","MOD_CDK_SPxxK_3","PF00069","Q13188"
"140","Q8WWK9","MOD_CDK_SPxxK_3","PF00069","P31749"
"141","Q8WWK9","MOD_CDK_SPxxK_3","PF00069","Q16512"
"142","Q8WWK9","MOD_CDK_SPxxK_3","PF00069","Q9BWU1"
"143","Q8WWK9","MOD_CDK_SPxxK_3","PF00069","Q9P286"
"144","Q9GZV5","MOD_CDK_SPxxK_3","PF00069","Q9Y572"
"145","Q9GZV5","MOD_CDK_SPxxK_3","PF00069","Q5S007"
"146","Q9GZV5","MOD_CDK_SPxxK_3","PF00069","Q07002"
"147","Q9GZV5","MOD_CDK_SPxxK_3","PF00069","Q13188"
"148","Q9GZV5","MOD_CDK_SPxxK_3","PF00069","P31749"
"149","Q9GZV5","MOD_CDK_SPxxK_3","PF00069","Q16512"
"150","Q9GZV5","MOD_CDK_SPxxK_3","PF00069","Q9BWU1"
"151","Q9GZV5","MOD_CDK_SPxxK_3","PF00069","Q9P286"
"152","P17544","DOC_MAPK_JIP1_4","PF00069","Q9Y572"
"153","P17544","DOC_MAPK_JIP1_4","PF00069","Q5S007"
"154","P17544","DOC_MAPK_JIP1_4","PF00069","Q07002"
"155","P17544","DOC_MAPK_JIP1_4","PF00069","Q13188"
"156","P17544","DOC_MAPK_JIP1_4","PF00069","P31749"
"157","P17544","DOC_MAPK_JIP1_4","PF00069","Q16512"
"158","P17544","DOC_MAPK_JIP1_4","PF00069","Q9BWU1"
"159","P17544","DOC_MAPK_JIP1_4","PF00069","Q9P286"
"160","P36507","DOC_MAPK_MEF2A_6","PF00069","Q9Y572"
"161","P36507","DOC_MAPK_MEF2A_6","PF00069","Q5S007"
"162","P36507","DOC_MAPK_MEF2A_6","PF00069","Q07002"
"163","P36507","DOC_MAPK_MEF2A_6","PF00069","Q13188"
"164","P36507","DOC_MAPK_MEF2A_6","PF00069","P31749"
"165","P36507","DOC_MAPK_MEF2A_6","PF00069","Q16512"
"166","P36507","DOC_MAPK_MEF2A_6","PF00069","Q9BWU1"
"167","P36507","DOC_MAPK_MEF2A_6","PF00069","Q9P286"
"168","Q6VAB6","DOC_MAPK_MEF2A_6","PF00069","Q9Y572"
"169","Q6VAB6","DOC_MAPK_MEF2A_6","PF00069","Q5S007"
"170","Q6VAB6","DOC_MAPK_MEF2A_6","PF00069","Q07002"
"171","Q6VAB6","DOC_MAPK_MEF2A_6","PF00069","Q13188"
"172","Q6VAB6","DOC_MAPK_MEF2A_6","PF00069","P31749"
"173","Q6VAB6","DOC_MAPK_MEF2A_6","PF00069","Q16512"
"174","Q6VAB6","DOC_MAPK_MEF2A_6","PF00069","Q9BWU1"
"175","Q6VAB6","DOC_MAPK_MEF2A_6","PF00069","Q9P286"
"176","Q00613","MOD_GSK3_1","PF00069","Q9Y572"
"177","Q00613","MOD_GSK3_1","PF00069","Q5S007"
"178","Q00613","MOD_GSK3_1","PF00069","Q07002"
"179","Q00613","MOD_GSK3_1","PF00069","Q13188"
"180","Q00613","MOD_GSK3_1","PF00069","P31749"
"181","Q00613","MOD_GSK3_1","PF00069","Q16512"
"182","Q00613","MOD_GSK3_1","PF00069","Q9BWU1"
"183","Q00613","MOD_GSK3_1","PF00069","Q9P286"
"184","P15311","MOD_CDK_SPK_2","PF00069","Q9Y572"
"185","P15311","MOD_CDK_SPK_2","PF00069","Q5S007"
"186","P15311","MOD_CDK_SPK_2","PF00069","Q07002"
"187","P15311","MOD_CDK_SPK_2","PF00069","Q13188"
"188","P15311","MOD_CDK_SPK_2","PF00069","P31749"
"189","P15311","MOD_CDK_SPK_2","PF00069","Q16512"
"190","P15311","MOD_CDK_SPK_2","PF00069","Q9BWU1"
"191","P15311","MOD_CDK_SPK_2","PF00069","Q9P286"
