Elm,Domain,interactorElm,interactorDomain,StartElm,StopElm,StartDomain,StopDomain,AffinityMin,AffinityMax,PMID,taxonomyElm,taxonomyDomain
CLV_Separin_Fungi,PF03568,Q12158,Q03018,175,181,1171,1571,None,None,"1,040,324,714,585,830",559292(Saccharomyces cerevisiae S288c),559292(Saccharomyces cerevisiae S288c)
CLV_Separin_Fungi,PF03568,Q12158,Q03018,263,269,1171,1571,None,None,10403247,559292(Saccharomyces cerevisiae S288c),559292(Saccharomyces cerevisiae S288c)
CLV_Separin_Fungi,PF03568,Q12188,Q03018,448,454,1171,1571,None,None,11081626,559292(Saccharomyces cerevisiae S288c),559292(Saccharomyces cerevisiae S288c)
CLV_Separin_Fungi,PF03568,P30776,P18296,226,232,1379,1770,None,None,11069892,284812(Schizosaccharomyces pombe 972h-),284812(Schizosaccharomyces pombe 972h-)
CLV_Separin_Metazoa,PF03568,O60216,Q14674,169,173,1716,2069,None,None,11509732,9606(Homo sapiens),9606(Homo sapiens)
CLV_Separin_Metazoa,PF03568,O95613,Q14674,2228,2232,1716,2069,None,None,22542101,9606(Homo sapiens),9606(Homo sapiens)
CLV_Separin_Metazoa,PF03568,Q14674,Q14674,1483,1487,1716,2069,None,None,"1,219,481,712,297,310",9606(Homo sapiens),9606(Homo sapiens)
CLV_Separin_Metazoa,PF03568,Q14674,Q14674,1503,1507,1716,2069,None,None,"1,219,481,712,297,310",9606(Homo sapiens),9606(Homo sapiens)
CLV_Separin_Metazoa,PF03568,Q14674,Q14674,1532,1536,1716,2069,None,None,"1,219,481,712,297,310",9606(Homo sapiens),9606(Homo sapiens)
LIG_PDZ_Class_1,PF00595,Q61315,Q64512,2840,2845,None,None,None,None,17161370,10090(Mus musculus),10090(Mus musculus)
LIG_PDZ_Class_1,PF00595,P07550,O14745,408,413,None,None,None,None,11882663,9606(Homo sapiens),9606(Homo sapiens)
LIG_PDZ_Class_1,PF00595,P09619,O14745,1101,1106,None,None,None,None,11882663,9606(Homo sapiens),9606(Homo sapiens)
LIG_PDZ_Class_1,PF00595,P11274,P55196,1266,1271,1008,1090,None,None,17473018,9606(Homo sapiens),9606(Homo sapiens)
LIG_PDZ_Class_1,PF00595,Q9H251,Q9Y6N9,3349,3354,None,None,None,None,19297620,9606(Homo sapiens),9606(Homo sapiens)
LIG_PDZ_Class_1,PF00595,P35222,Q9DBG9,776,781,17,110,0.14,0.24,18835279,9606(Homo sapiens),10090(Mus musculus)
LIG_PDZ_Class_1,PF00595,Q792Q4,P31016,96,101,None,None,None,None,8674113,10116(Rattus norvegicus),10116(Rattus norvegicus)
LIG_PDZ_Class_1,PF00595,P13569,O14745,1475,1480,None,None,None,None,"967,741,211,304,524",9606(Homo sapiens),9606(Homo sapiens)
LIG_PDZ_Class_1,PF00595,Q8QG92,P51142,819,824,254,339,None,None,11970895,8355(Xenopus laevis),8355(Xenopus laevis)
LIG_PDZ_Class_1,PF00595,Q13268,Q15599,253,258,None,None,None,None,17384233,9606(Homo sapiens),9606(Homo sapiens)
LIG_PDZ_Class_1,PF00595,P97836,Q9WV48,987,992,663,754,None,None,12954649,10116(Rattus norvegicus),10116(Rattus norvegicus)
LIG_PDZ_Class_1,PF00595,Q86XX4,P97879,4002,4007,None,None,9.4,9.4,18155042,9606(Homo sapiens),10116(Rattus norvegicus)
LIG_PDZ_Class_1,PF00595,Q8R4T5,Q8R4T5,389,394,100,186,631,631,17396155,10116(Rattus norvegicus),10116(Rattus norvegicus)
LIG_PDZ_Class_1,PF00595,P19490,Q62696,902,907,None,None,None,None,"120,701,681,706,961,000,000,000",10116(Rattus norvegicus),10116(Rattus norvegicus)
LIG_PDZ_Class_1,PF00595,Q9WTT6,P31016,449,454,None,None,None,None,19072119,10116(Rattus norvegicus),10116(Rattus norvegicus)
LIG_PDZ_Class_1,PF00595,Q01344,O00560,415,420,None,None,None,None,"1,149,859,112,842,040",9606(Homo sapiens),9606(Homo sapiens)
LIG_PDZ_Class_1,PF00595,P48050,O14907,440,445,17,110,None,None,19635485,9606(Homo sapiens),9606(Homo sapiens)
LIG_PDZ_Class_1,PF00595,P23634,O75970,1236,1241,None,None,None,None,17384233,9606(Homo sapiens),9606(Homo sapiens)
LIG_PDZ_Class_1,PF00595,P23634,Q15700,1236,1241,None,None,None,None,17384233,9606(Homo sapiens),9606(Homo sapiens)
LIG_PDZ_Class_1,PF00595,P06463,Q12959,153,158,None,None,0.1,1.3,"1,771,392,617,267,500",333761(Human papillomavirus type 18),9606(Homo sapiens)
LIG_PDZ_Class_1,PF00595,P06463,Q6RHR9,153,158,None,None,None,None,"1,771,392,617,267,500",333761(Human papillomavirus type 18),10090(Mus musculus)
LIG_PDZ_Class_1,PF00595,P06463,Q62696,153,158,None,None,None,None,"1,771,392,617,267,500",333761(Human papillomavirus type 18),10116(Rattus norvegicus)
LIG_PDZ_Class_1,PF00595,Q8TEU7,Q12923,1596,1601,None,None,None,None,"1,209,525,720,430,880",9606(Homo sapiens),9606(Homo sapiens)
LIG_PDZ_Class_1,PF00595,O55043,Q9WV48,641,646,663,754,None,None,20117114,10116(Rattus norvegicus),10116(Rattus norvegicus)
LIG_PDZ_Class_1,PF00595,Q495M9,Q9Y6N9,456,461,None,None,1,1,20142502,9606(Homo sapiens),9606(Homo sapiens)
LIG_PDZ_Class_2,PF00595,Q02410,Q02410,832,837,None,None,None,None,16007100,9606(Homo sapiens),9606(Homo sapiens)
LIG_PDZ_Class_2,PF00595,P55284,Q99NH2,779,784,None,None,4,8,20047332,10090(Mus musculus),10090(Mus musculus)
LIG_PDZ_Class_2,PF00595,Q811U3,Q9JIR4,943,948,619,703,0.27,0.27,16095618,10116(Rattus norvegicus),10116(Rattus norvegicus)
LIG_PDZ_Class_2,PF00595,P19491,Q9EP80,878,883,22,101,None,None,17914463,10116(Rattus norvegicus),10116(Rattus norvegicus)
LIG_PDZ_Class_2,PF00595,P04921,Q00013,123,128,71,149,None,None,"930,587,017,572,384",9606(Homo sapiens),9606(Homo sapiens)
LIG_PDZ_Class_2,PF00595,Q13136,P97879,1197,1202,None,None,None,None,12493751,9606(Homo sapiens),10116(Rattus norvegicus)
LIG_PDZ_Class_2,PF00595,P04626,Q96RT1,1250,1255,1321,1407,None,None,12444095,9606(Homo sapiens),9606(Homo sapiens)
LIG_PDZ_Class_2,PF00595,P31431,O00560,193,198,None,None,2.3,2.3,"126,790,231,653,305,000,000,000",9606(Homo sapiens),9606(Homo sapiens)
LIG_PDZ_Class_3,PF00595,P48039,P29476,345,350,17,96,None,None,10331866,9606(Homo sapiens),10116(Rattus norvegicus)
LIG_CaM_IQ_9,PF13499,P38377,P62161,13,31,85,146,None,None,21102557,9615(Canis lupus familiaris),10116(Rattus norvegicus)
LIG_CaM_IQ_9,PF13499,P38377,P62161,13,31,8,73,None,None,21102557,9615(Canis lupus familiaris),10116(Rattus norvegicus)
LIG_CaM_IQ_9,PF13499,P04775,P07463,1906,1925,80,146,None,None,21439835,10116(Rattus norvegicus),5888(Paramecium tetraurelia)
LIG_CaM_IQ_9,PF13499,P04775,P07463,1906,1925,8,73,None,None,21439835,10116(Rattus norvegicus),5888(Paramecium tetraurelia)
LIG_CaM_IQ_9,PF13499,Q13936,P62158,1666,1685,85,146,None,None,16338416,9606(Homo sapiens),9606(Homo sapiens)
LIG_CaM_IQ_9,PF13499,Q13936,P62158,1666,1685,8,73,None,None,16338416,9606(Homo sapiens),9606(Homo sapiens)
LIG_CaM_IQ_9,PF13499,P40421,P62152,6,25,85,146,None,None,11754840,7227(Drosophila melanogaster),7227(Drosophila melanogaster)
LIG_CaM_IQ_9,PF13499,P40421,P62152,6,25,8,73,None,None,11754840,7227(Drosophila melanogaster),7227(Drosophila melanogaster)
LIG_CaM_IQ_9,PF13499,O14830,P62152,20,38,85,146,None,None,"1,175,484,012,051,760",9606(Homo sapiens),7227(Drosophila melanogaster)
LIG_CaM_IQ_9,PF13499,O14830,P62152,20,38,8,73,None,None,"1,175,484,012,051,760",9606(Homo sapiens),7227(Drosophila melanogaster)
LIG_CaM_IQ_9,PF13499,P04774,P62161,1916,1935,85,146,None,None,21726526,10116(Rattus norvegicus),10116(Rattus norvegicus)
LIG_CaM_IQ_9,PF13499,P04774,P62161,1916,1935,8,73,None,None,21726526,10116(Rattus norvegicus),10116(Rattus norvegicus)
LIG_CaM_IQ_9,PF13499,Q14524,P62158,1902,1921,85,146,None,None,"1,650,538,721,167,170",9606(Homo sapiens),9606(Homo sapiens)
LIG_CaM_IQ_9,PF13499,Q14524,P62158,1902,1921,8,73,None,None,"1,650,538,721,167,170",9606(Homo sapiens),9606(Homo sapiens)
LIG_CaM_IQ_9,PF13499,Q9WTI7,P62149,735,754,85,146,None,None,17910470,10090(Mus musculus),9031(Gallus gallus)
LIG_CaM_IQ_9,PF13499,Q9WTI7,P62149,735,754,8,73,None,None,17910470,10090(Mus musculus),9031(Gallus gallus)
LIG_CaM_IQ_9,PF13499,Q9WTI7,P62149,758,777,85,146,None,None,17910470,10090(Mus musculus),9031(Gallus gallus)
